"t"|"65779476"|"27326850"
"k"|"65779478"|"27326852"
"t"|"65779478"|"27326853"
"k"|"65779479"|"27326854"
"t"|"65779479"|"27326855"
"p"|"65779477"|"27326851"
"k"|"65779481"|"27326858"
"t"|"65779481"|"27326857"
"t"|"65779482"|"27326859"
"kk"|"65779482"|"27326860"
"t"|"65779483"|"27326861"
"p"|"65779480"|"27326856"
"t"|"65779486"|"27326865"
"k"|"65779487"|"27326867"
"t"|"65779487"|"27326866"
"k"|"65779485"|"27326863"
"t"|"65779485"|"27326864"
"p"|"65779484"|"27326862"
"t"|"65779491"|"27326873"
"kk"|"65779491"|"27326872"
"p"|"65779492"|"27326874"
"k"|"65779490"|"27326870"
"t"|"65779490"|"27326871"
"t"|"65779488"|"27326868"
"t"|"65779489"|"27326869"
