X,Y,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,orgc_value,orgc_value_avg,orgc_method,orgc_date,orgc_dataset_id,orgc_profile_code,orgc_licence
-102.1875,33.9069443,153898,704515,United States of America,102,168,Btk1,0,"{1:1.20,2:1.20}",1.2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1959-??-??,2:1959-??-??}",US-NCSS,40A4469,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.9875031,33.2097206,153902,704545,United States of America,84,107,Bt21,0,"{1:2.30,2:2.30}",2.3,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4473,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.9875031,33.2097206,153902,704548,United States of America,170,190,Bk,0,"{1:4.60,2:4.60}",4.6,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4473,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.0250015,33.2194443,153903,704550,United States of America,41,46,A2,0,"{1:2.90,2:2.90}",2.9,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4474,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.0250015,33.2194443,153903,704551,United States of America,46,69,Bt1,0,"{1:2.90,2:2.90}",2.9,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4474,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.0250015,33.2194443,153903,704552,United States of America,69,107,Bt2,0,"{1:2.30,2:2.30}",2.3,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4474,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.0250015,33.2194443,153903,704554,United States of America,168,244,B,0,"{1:1.20,2:1.20}",1.2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4474,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.7799988,33.1847229,153904,704558,United States of America,51,76,Bt2,0,"{1:4.60,2:4.60}",4.6,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-6-30,2:1953-6-30}",US-NCSS,40A4475,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.7799988,33.1847229,153904,704559,United States of America,76,102,Bt3,0,"{1:2.90,2:2.90}",2.9,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-6-30,2:1953-6-30}",US-NCSS,40A4475,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.7799988,33.1847229,153904,704562,United States of America,244,305,C,0,"{1:1.20,2:1.20}",1.2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-6-30,2:1953-6-30}",US-NCSS,40A4475,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
