# Soil Temperature - with Trace Gas Sampling,,,,
#,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/167,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/167.csv,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/16.eml,,,,
#,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,
# Use of the data constitutes acceptance of the terms.,,,,
#,,,,
#     VARIATE TABLE,,,,
"# date		date the measurement was taken",,,,
"# treatment		treatment the measurement was made from",,,,
"# replicate		replicate the measurement was made from",,,,
"# soil_temperature	celsius	soil temperature at 10 cm",,,,
"# year		year the measurement was taken",,,,
#,,,,
#,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,
#,,,,
#,,,celsius,
date,treatment,replicate,soil_temperature,year
7/24/1991,T1,R3,,1991
7/24/1991,T1,R4,,1991
7/24/1991,T2,R1,,1991
7/24/1991,T2,R2,,1991
7/24/1991,T2,R3,,1991
7/24/1991,T2,R4,,1991
7/24/1991,T3,R1,,1991
7/24/1991,T3,R2,,1991
7/24/1991,T3,R3,,1991
7/24/1991,T3,R4,,1991
7/24/1991,T4,R1,,1991
7/24/1991,T4,R2,,1991
7/24/1991,T4,R3,,1991
7/24/1991,T4,R4,,1991
7/24/1991,T5,R1,,1991
7/24/1991,T5,R2,,1991
7/24/1991,T5,R3,,1991
7/24/1991,T5,R4,,1991
7/24/1991,T6,R1,,1991
7/24/1991,T6,R2,,1991
7/24/1991,T6,R3,,1991
7/24/1991,T6,R4,,1991
7/24/1991,T7,R1,,1991
7/24/1991,T7,R2,,1991
7/24/1991,T7,R3,,1991
7/24/1991,T7,R4,,1991
7/24/1991,T8,R1,,1991
7/24/1991,T8,R2,,1991
7/24/1991,T8,R3,,1991
7/24/1991,T8,R4,,1991
8/9/1991,T1,R1,,1991
8/9/1991,T1,R2,,1991
8/9/1991,T1,R3,,1991
8/9/1991,T1,R4,,1991
8/9/1991,T2,R1,,1991
8/9/1991,T2,R2,,1991
8/9/1991,T2,R3,,1991
8/9/1991,T2,R4,,1991
8/9/1991,T3,R1,,1991
8/9/1991,T3,R2,,1991
8/9/1991,T3,R3,,1991
8/9/1991,T3,R4,,1991
8/9/1991,T4,R1,,1991
8/9/1991,T4,R2,,1991
8/9/1991,T4,R3,,1991
8/9/1991,T4,R4,,1991
8/9/1991,T5,R1,,1991
8/9/1991,T5,R2,,1991
8/9/1991,T5,R3,,1991
8/9/1991,T5,R4,,1991
8/9/1991,T6,R1,,1991
8/9/1991,T6,R2,,1991
8/9/1991,T6,R3,,1991
8/9/1991,T6,R4,,1991
8/9/1991,T7,R1,,1991
8/9/1991,T7,R2,,1991
8/9/1991,T7,R3,,1991
8/9/1991,T7,R4,,1991
8/9/1991,T8,R1,,1991
8/9/1991,T8,R2,,1991
8/9/1991,T8,R3,,1991
8/9/1991,T8,R4,,1991
8/21/1991,T1,R1,,1991
8/21/1991,T1,R2,,1991
8/21/1991,T1,R3,,1991
8/21/1991,T1,R4,,1991
8/21/1991,T2,R1,,1991
8/21/1991,T2,R2,,1991
8/21/1991,T2,R3,,1991
8/21/1991,T2,R4,,1991
8/21/1991,T3,R1,,1991
8/21/1991,T3,R2,,1991
8/21/1991,T3,R3,,1991
8/21/1991,T3,R4,,1991
8/21/1991,T4,R1,,1991
8/21/1991,T4,R2,,1991
8/21/1991,T4,R3,,1991
8/21/1991,T4,R4,,1991
8/21/1991,T5,R1,,1991
8/21/1991,T5,R2,,1991
8/21/1991,T5,R3,,1991
8/21/1991,T5,R4,,1991
8/21/1991,T6,R1,,1991
8/21/1991,T6,R2,,1991
8/21/1991,T6,R3,,1991
8/21/1991,T6,R4,,1991
8/21/1991,T7,R1,,1991
8/21/1991,T7,R2,,1991
8/21/1991,T7,R3,,1991
8/21/1991,T7,R4,,1991
8/21/1991,T8,R1,,1991
8/21/1991,T8,R2,,1991
8/21/1991,T8,R3,,1991
8/21/1991,T8,R4,,1991
10/16/1991,T1,R1,,1991
10/16/1991,T1,R2,,1991
10/16/1991,T1,R3,,1991
10/16/1991,T1,R4,,1991
10/16/1991,T2,R1,,1991
10/16/1991,T2,R2,,1991
10/16/1991,T2,R3,,1991
10/16/1991,T2,R4,,1991
10/16/1991,T3,R1,,1991
10/16/1991,T3,R2,,1991
10/16/1991,T3,R3,,1991
10/16/1991,T3,R4,,1991
10/16/1991,T4,R1,,1991
10/16/1991,T4,R2,,1991
10/16/1991,T4,R3,,1991
10/16/1991,T4,R4,,1991
10/16/1991,T5,R1,,1991
10/16/1991,T5,R2,,1991
10/16/1991,T5,R3,,1991
10/16/1991,T5,R4,,1991
10/16/1991,T6,R1,,1991
10/16/1991,T6,R2,,1991
10/16/1991,T6,R3,,1991
10/16/1991,T6,R4,,1991
10/16/1991,T7,R1,,1991
10/16/1991,T7,R2,,1991
10/16/1991,T7,R3,,1991
10/16/1991,T7,R4,,1991
10/16/1991,T8,R1,,1991
10/16/1991,T8,R2,,1991
10/16/1991,T8,R3,,1991
10/16/1991,T8,R4,,1991
6/12/1992,T1,R1,,1992
6/12/1992,T1,R2,,1992
6/12/1992,T1,R3,,1992
6/12/1992,T1,R4,,1992
6/12/1992,T2,R1,,1992
6/12/1992,T2,R2,,1992
6/12/1992,T2,R3,,1992
6/12/1992,T2,R4,,1992
6/12/1992,T3,R1,,1992
6/12/1992,T3,R2,,1992
6/12/1992,T3,R3,,1992
6/12/1992,T3,R4,,1992
6/12/1992,T4,R1,,1992
6/12/1992,T4,R2,,1992
6/12/1992,T4,R3,,1992
6/12/1992,T4,R4,,1992
6/12/1992,T5,R1,,1992
6/12/1992,T5,R2,,1992
6/12/1992,T5,R3,,1992
6/12/1992,T5,R4,,1992
6/12/1992,T6,R1,,1992
6/12/1992,T6,R2,,1992
6/12/1992,T6,R3,,1992
6/12/1992,T6,R4,,1992
6/12/1992,T7,R1,,1992
6/12/1992,T7,R2,,1992
6/12/1992,T7,R3,,1992
6/12/1992,T7,R4,,1992
6/12/1992,T8,R1,,1992
6/12/1992,T8,R2,,1992
6/12/1992,T8,R3,,1992
6/12/1992,T8,R4,,1992
6/19/1992,T1,R1,,1992
6/19/1992,T1,R2,,1992
6/19/1992,T1,R3,,1992
6/19/1992,T1,R4,,1992
6/19/1992,T2,R1,,1992
6/19/1992,T2,R2,,1992
6/19/1992,T2,R3,,1992
6/19/1992,T2,R4,,1992
6/19/1992,T3,R1,,1992
6/19/1992,T3,R2,,1992
6/19/1992,T3,R3,,1992
6/19/1992,T3,R4,,1992
6/19/1992,T4,R1,,1992
6/19/1992,T4,R2,,1992
6/19/1992,T4,R3,,1992
6/19/1992,T4,R4,,1992
6/19/1992,T5,R1,,1992
6/19/1992,T5,R2,,1992
6/19/1992,T5,R3,,1992
6/19/1992,T5,R4,,1992
6/19/1992,T6,R1,,1992
6/19/1992,T6,R2,,1992
6/19/1992,T6,R3,,1992
6/19/1992,T6,R4,,1992
6/19/1992,T7,R1,,1992
6/19/1992,T7,R2,,1992
6/19/1992,T7,R3,,1992
6/19/1992,T7,R4,,1992
6/19/1992,T8,R1,,1992
6/19/1992,T8,R2,,1992
6/19/1992,T8,R3,,1992
6/19/1992,T8,R4,,1992
6/29/1992,T1,R1,,1992
6/29/1992,T1,R2,,1992
6/29/1992,T1,R3,,1992
6/29/1992,T1,R4,,1992
6/29/1992,T2,R1,,1992
6/29/1992,T2,R2,,1992
6/29/1992,T2,R3,,1992
6/29/1992,T2,R4,,1992
6/29/1992,T3,R1,,1992
6/29/1992,T3,R2,,1992
6/29/1992,T3,R3,,1992
6/29/1992,T3,R4,,1992
6/29/1992,T4,R1,,1992
6/29/1992,T4,R2,,1992
6/29/1992,T4,R3,,1992
6/29/1992,T4,R4,,1992
6/29/1992,T5,R1,,1992
6/29/1992,T5,R2,,1992
6/29/1992,T5,R3,,1992
6/29/1992,T5,R4,,1992
6/29/1992,T6,R1,,1992
6/29/1992,T6,R2,,1992
6/29/1992,T6,R3,,1992
6/29/1992,T6,R4,,1992
6/29/1992,T7,R1,,1992
6/29/1992,T7,R2,,1992
6/29/1992,T7,R3,,1992
6/29/1992,T7,R4,,1992
6/29/1992,T8,R1,,1992
6/29/1992,T8,R2,,1992
6/29/1992,T8,R3,,1992
6/29/1992,T8,R4,,1992
7/9/1992,T1,R1,,1992
7/9/1992,T1,R2,,1992
7/9/1992,T1,R3,,1992
7/9/1992,T1,R4,,1992
7/9/1992,T2,R1,,1992
7/9/1992,T2,R2,,1992
7/9/1992,T2,R3,,1992
7/9/1992,T2,R4,,1992
7/9/1992,T3,R1,,1992
7/9/1992,T3,R2,,1992
7/9/1992,T3,R3,,1992
7/9/1992,T3,R4,,1992
7/9/1992,T4,R1,,1992
7/9/1992,T4,R2,,1992
7/9/1992,T4,R3,,1992
7/9/1992,T4,R4,,1992
7/9/1992,T5,R1,,1992
7/9/1992,T5,R2,,1992
7/9/1992,T5,R3,,1992
7/9/1992,T5,R4,,1992
7/9/1992,T6,R1,,1992
7/9/1992,T6,R2,,1992
7/9/1992,T6,R3,,1992
7/9/1992,T6,R4,,1992
7/9/1992,T7,R1,,1992
7/9/1992,T7,R2,,1992
7/9/1992,T7,R3,,1992
7/9/1992,T7,R4,,1992
7/9/1992,T8,R1,,1992
7/9/1992,T8,R2,,1992
7/9/1992,T8,R3,,1992
7/9/1992,T8,R4,,1992
7/10/1992,T1,R1,,1992
7/10/1992,T1,R2,,1992
7/10/1992,T1,R3,,1992
7/10/1992,T1,R4,,1992
7/10/1992,T2,R1,,1992
7/10/1992,T2,R2,,1992
7/10/1992,T2,R3,,1992
7/10/1992,T2,R4,,1992
7/10/1992,T3,R1,,1992
7/10/1992,T3,R2,,1992
7/10/1992,T3,R3,,1992
7/10/1992,T3,R4,,1992
7/10/1992,T4,R1,,1992
7/10/1992,T4,R2,,1992
7/10/1992,T4,R3,,1992
7/10/1992,T4,R4,,1992
7/10/1992,T5,R1,,1992
7/10/1992,T5,R2,,1992
7/10/1992,T5,R3,,1992
7/10/1992,T5,R4,,1992
7/10/1992,T6,R1,,1992
7/10/1992,T6,R2,,1992
7/10/1992,T6,R3,,1992
7/10/1992,T6,R4,,1992
7/10/1992,T7,R1,,1992
7/10/1992,T7,R2,,1992
7/10/1992,T7,R3,,1992
7/10/1992,T7,R4,,1992
7/10/1992,T8,R1,,1992
7/10/1992,T8,R2,,1992
7/10/1992,T8,R3,,1992
7/10/1992,T8,R4,,1992
7/13/1992,T1,R1,,1992
7/13/1992,T1,R2,,1992
7/13/1992,T1,R3,,1992
7/13/1992,T1,R4,,1992
7/13/1992,T2,R1,,1992
7/13/1992,T2,R2,,1992
7/13/1992,T2,R3,,1992
7/13/1992,T2,R4,,1992
7/13/1992,T3,R1,,1992
7/13/1992,T3,R2,,1992
7/13/1992,T3,R3,,1992
7/13/1992,T3,R4,,1992
7/13/1992,T4,R1,,1992
7/13/1992,T4,R2,,1992
7/13/1992,T4,R3,,1992
7/13/1992,T4,R4,,1992
7/13/1992,T5,R1,,1992
7/13/1992,T5,R2,,1992
7/13/1992,T5,R3,,1992
7/13/1992,T5,R4,,1992
7/13/1992,T6,R1,,1992
7/13/1992,T6,R2,,1992
7/13/1992,T6,R3,,1992
7/13/1992,T6,R4,,1992
7/13/1992,T7,R1,,1992
7/13/1992,T7,R2,,1992
7/13/1992,T7,R3,,1992
7/13/1992,T7,R4,,1992
7/13/1992,T8,R1,,1992
7/13/1992,T8,R2,,1992
7/13/1992,T8,R3,,1992
7/13/1992,T8,R4,,1992
7/15/1992,T1,R1,,1992
7/15/1992,T1,R2,,1992
7/15/1992,T1,R3,,1992
7/15/1992,T1,R4,,1992
7/15/1992,T2,R1,,1992
7/15/1992,T2,R2,,1992
7/15/1992,T2,R3,,1992
7/15/1992,T2,R4,,1992
7/15/1992,T3,R1,,1992
7/15/1992,T3,R2,,1992
7/15/1992,T3,R3,,1992
7/15/1992,T3,R4,,1992
7/15/1992,T4,R1,,1992
7/15/1992,T4,R2,,1992
7/15/1992,T4,R3,,1992
7/15/1992,T4,R4,,1992
7/15/1992,T5,R1,,1992
7/15/1992,T5,R2,,1992
7/15/1992,T5,R3,,1992
7/15/1992,T5,R4,,1992
7/15/1992,T6,R1,,1992
7/15/1992,T6,R2,,1992
7/15/1992,T6,R3,,1992
7/15/1992,T6,R4,,1992
7/15/1992,T7,R1,,1992
7/15/1992,T7,R2,,1992
7/15/1992,T7,R3,,1992
7/15/1992,T7,R4,,1992
7/15/1992,T8,R1,,1992
7/15/1992,T8,R2,,1992
7/15/1992,T8,R3,,1992
7/15/1992,T8,R4,,1992
7/16/1992,T1,R1,,1992
7/16/1992,T1,R2,,1992
7/16/1992,T1,R3,,1992
7/16/1992,T1,R4,,1992
7/16/1992,T2,R1,,1992
7/16/1992,T2,R2,,1992
7/16/1992,T2,R3,,1992
7/16/1992,T2,R4,,1992
7/16/1992,T3,R1,,1992
7/16/1992,T3,R2,,1992
7/16/1992,T3,R3,,1992
7/16/1992,T3,R4,,1992
7/16/1992,T4,R1,,1992
7/16/1992,T4,R2,,1992
7/16/1992,T4,R3,,1992
7/16/1992,T4,R4,,1992
7/16/1992,T5,R1,,1992
7/16/1992,T5,R2,,1992
7/16/1992,T5,R3,,1992
7/16/1992,T5,R4,,1992
7/16/1992,T6,R1,,1992
7/16/1992,T6,R2,,1992
7/16/1992,T6,R3,,1992
7/16/1992,T6,R4,,1992
7/16/1992,T7,R1,,1992
7/16/1992,T7,R2,,1992
7/16/1992,T7,R3,,1992
7/16/1992,T7,R4,,1992
7/16/1992,T8,R1,,1992
7/16/1992,T8,R2,,1992
7/16/1992,T8,R3,,1992
7/16/1992,T8,R4,,1992
7/17/1992,T1,R1,,1992
7/17/1992,T1,R2,,1992
7/17/1992,T1,R3,,1992
7/17/1992,T1,R4,,1992
7/17/1992,T2,R1,,1992
7/17/1992,T2,R2,,1992
7/17/1992,T2,R3,,1992
7/17/1992,T2,R4,,1992
7/17/1992,T3,R1,,1992
7/17/1992,T3,R2,,1992
7/17/1992,T3,R3,,1992
7/17/1992,T3,R4,,1992
7/17/1992,T4,R1,,1992
7/17/1992,T4,R2,,1992
7/17/1992,T4,R3,,1992
7/17/1992,T4,R4,,1992
7/17/1992,T5,R1,,1992
7/17/1992,T5,R2,,1992
7/17/1992,T5,R3,,1992
7/17/1992,T5,R4,,1992
7/17/1992,T6,R1,,1992
7/17/1992,T6,R2,,1992
7/17/1992,T6,R3,,1992
7/17/1992,T6,R4,,1992
7/17/1992,T7,R1,,1992
7/17/1992,T7,R2,,1992
7/17/1992,T7,R3,,1992
7/17/1992,T7,R4,,1992
7/17/1992,T8,R1,,1992
7/17/1992,T8,R2,,1992
7/17/1992,T8,R3,,1992
7/17/1992,T8,R4,,1992
7/22/1992,T1,R1,,1992
7/22/1992,T1,R2,,1992
7/22/1992,T1,R3,,1992
7/22/1992,T1,R4,,1992
7/22/1992,T2,R1,,1992
7/22/1992,T2,R2,,1992
7/22/1992,T2,R3,,1992
7/22/1992,T2,R4,,1992
7/22/1992,T3,R1,,1992
7/22/1992,T3,R2,,1992
7/22/1992,T3,R3,,1992
7/22/1992,T3,R4,,1992
7/22/1992,T4,R1,,1992
7/22/1992,T4,R2,,1992
7/22/1992,T4,R3,,1992
7/22/1992,T4,R4,,1992
7/22/1992,T5,R1,,1992
7/22/1992,T5,R2,,1992
7/22/1992,T5,R3,,1992
7/22/1992,T5,R4,,1992
7/22/1992,T6,R1,,1992
7/22/1992,T6,R2,,1992
7/22/1992,T6,R3,,1992
7/22/1992,T6,R4,,1992
7/22/1992,T7,R1,,1992
7/22/1992,T7,R2,,1992
7/22/1992,T7,R3,,1992
7/22/1992,T7,R4,,1992
7/22/1992,T8,R1,,1992
7/22/1992,T8,R2,,1992
7/22/1992,T8,R3,,1992
7/22/1992,T8,R4,,1992
7/24/1992,T1,R1,,1992
7/24/1992,T1,R2,,1992
7/24/1992,T1,R3,,1992
7/24/1992,T1,R4,,1992
7/24/1992,T2,R1,,1992
7/24/1992,T2,R2,,1992
7/24/1992,T2,R3,,1992
7/24/1992,T2,R4,,1992
7/24/1992,T3,R1,,1992
7/24/1992,T3,R2,,1992
7/24/1992,T3,R3,,1992
7/24/1992,T3,R4,,1992
7/24/1992,T4,R1,,1992
7/24/1992,T4,R2,,1992
7/24/1992,T4,R3,,1992
7/24/1992,T4,R4,,1992
7/24/1992,T5,R1,,1992
7/24/1992,T5,R2,,1992
7/24/1992,T5,R3,,1992
7/24/1992,T5,R4,,1992
7/24/1992,T6,R1,,1992
7/24/1992,T6,R2,,1992
7/24/1992,T6,R3,,1992
7/24/1992,T6,R4,,1992
7/24/1992,T7,R1,,1992
7/24/1992,T7,R2,,1992
7/24/1992,T7,R3,,1992
7/24/1992,T7,R4,,1992
7/24/1992,T8,R1,,1992
7/24/1992,T8,R2,,1992
7/24/1992,T8,R3,,1992
7/24/1992,T8,R4,,1992
7/29/1992,T1,R1,,1992
7/29/1992,T1,R2,,1992
7/29/1992,T1,R3,,1992
7/29/1992,T1,R4,,1992
7/29/1992,T2,R1,,1992
7/29/1992,T2,R2,,1992
7/29/1992,T2,R3,,1992
7/29/1992,T2,R4,,1992
7/29/1992,T3,R1,,1992
7/29/1992,T3,R2,,1992
7/29/1992,T3,R3,,1992
7/29/1992,T3,R4,,1992
7/29/1992,T4,R1,,1992
7/29/1992,T4,R2,,1992
7/29/1992,T4,R3,,1992
7/29/1992,T4,R4,,1992
7/29/1992,T5,R1,,1992
7/29/1992,T5,R2,,1992
7/29/1992,T5,R3,,1992
7/29/1992,T5,R4,,1992
7/29/1992,T6,R1,,1992
7/29/1992,T6,R2,,1992
7/29/1992,T6,R3,,1992
7/29/1992,T6,R4,,1992
7/29/1992,T7,R1,,1992
7/29/1992,T7,R2,,1992
7/29/1992,T7,R3,,1992
7/29/1992,T7,R4,,1992
7/29/1992,T8,R1,,1992
7/29/1992,T8,R2,,1992
7/29/1992,T8,R3,,1992
7/29/1992,T8,R4,,1992
8/13/1992,T1,R1,,1992
8/13/1992,T1,R2,,1992
8/13/1992,T1,R3,,1992
8/13/1992,T1,R4,,1992
8/13/1992,T2,R1,,1992
8/13/1992,T2,R2,,1992
8/13/1992,T2,R3,,1992
8/13/1992,T2,R4,,1992
8/13/1992,T3,R1,,1992
8/13/1992,T3,R2,,1992
8/13/1992,T3,R3,,1992
8/13/1992,T3,R4,,1992
8/13/1992,T4,R1,,1992
8/13/1992,T4,R2,,1992
8/13/1992,T4,R3,,1992
8/13/1992,T4,R4,,1992
8/13/1992,T5,R1,,1992
8/13/1992,T5,R2,,1992
8/13/1992,T5,R3,,1992
8/13/1992,T5,R4,,1992
8/13/1992,T6,R1,,1992
8/13/1992,T6,R2,,1992
8/13/1992,T6,R3,,1992
8/13/1992,T6,R4,,1992
8/13/1992,T7,R1,,1992
8/13/1992,T7,R2,,1992
8/13/1992,T7,R3,,1992
8/13/1992,T7,R4,,1992
8/13/1992,T8,R1,,1992
8/13/1992,T8,R2,,1992
8/13/1992,T8,R3,,1992
8/13/1992,T8,R4,,1992
8/20/1992,T1,R1,,1992
8/20/1992,T1,R2,,1992
8/20/1992,T1,R3,,1992
8/20/1992,T1,R4,,1992
8/20/1992,T2,R1,,1992
8/20/1992,T2,R2,,1992
8/20/1992,T2,R3,,1992
8/20/1992,T2,R4,,1992
8/20/1992,T3,R1,,1992
8/20/1992,T3,R2,,1992
8/20/1992,T3,R3,,1992
8/20/1992,T3,R4,,1992
8/20/1992,T4,R1,,1992
8/20/1992,T4,R2,,1992
8/20/1992,T4,R3,,1992
8/20/1992,T4,R4,,1992
8/20/1992,T5,R1,,1992
8/20/1992,T5,R2,,1992
8/20/1992,T5,R3,,1992
8/20/1992,T5,R4,,1992
8/20/1992,T6,R1,,1992
8/20/1992,T6,R2,,1992
8/20/1992,T6,R3,,1992
8/20/1992,T6,R4,,1992
8/20/1992,T7,R1,,1992
8/20/1992,T7,R2,,1992
8/20/1992,T7,R3,,1992
8/20/1992,T7,R4,,1992
8/20/1992,T8,R1,,1992
8/20/1992,T8,R2,,1992
8/20/1992,T8,R3,,1992
8/20/1992,T8,R4,,1992
9/3/1992,T1,R1,,1992
9/3/1992,T1,R2,,1992
9/3/1992,T1,R3,,1992
9/3/1992,T1,R4,,1992
9/3/1992,T2,R1,,1992
9/3/1992,T2,R2,,1992
9/3/1992,T2,R3,,1992
9/3/1992,T2,R4,,1992
9/3/1992,T3,R1,,1992
9/3/1992,T3,R2,,1992
9/3/1992,T3,R3,,1992
9/3/1992,T3,R4,,1992
9/3/1992,T4,R1,,1992
9/3/1992,T4,R2,,1992
9/3/1992,T4,R3,,1992
9/3/1992,T4,R4,,1992
9/3/1992,T5,R1,,1992
9/3/1992,T5,R2,,1992
9/3/1992,T5,R3,,1992
9/3/1992,T5,R4,,1992
9/3/1992,T6,R1,,1992
9/3/1992,T6,R2,,1992
9/3/1992,T6,R3,,1992
9/3/1992,T6,R4,,1992
9/3/1992,T7,R1,,1992
9/3/1992,T7,R2,,1992
9/3/1992,T7,R3,,1992
9/3/1992,T7,R4,,1992
9/3/1992,T8,R1,,1992
9/3/1992,T8,R2,,1992
9/3/1992,T8,R3,,1992
9/3/1992,T8,R4,,1992
9/30/1992,T1,R1,,1992
9/30/1992,T1,R2,,1992
9/30/1992,T1,R3,,1992
