sample_date,treatment,replicate,station,core,section,section_length,top_depth,bottom_depth,core_volume_cm3,gravel_free_bulk_density,total_bulk_density,n_percent,c_percent,flag,comment
#,,,,,,centimeter,centimeter,centimeter,cubicCentimeter,gramsPerCubicCentimeter,gramsPerCubicCentimeter,gramsPerHectogram,gramsPerHectogram,,
2001-10-03,TCF,R2,S1,C1,Surface,,,,,,,0.1572,2.275,,
2001-10-03,TCF,R2,S2,C1,Deep,,,,,,,0.0043,0.0613,,
2001-10-03,TCF,R2,S2,C1,Middle,,,,,,,0.0291,0.2866,,
2001-10-03,TCF,R2,S2,C1,Surface,,,,,,,0.1585,2.4846,,
2001-10-03,TCF,R2,S3,C1,Deep,,,,,,,0.0217,0.0698,,
2001-10-03,TCF,R2,S3,C1,Middle,,,,,,,0.0366,0.3579,,
2001-10-03,TCF,R2,S3,C1,Surface,,,,,,,0.1296,2.0333,,
2001-10-03,TCF,R2,S4,C1,Deep,,,,,,,0.009,0.089,,
2001-10-03,TCF,R2,S4,C1,Middle,,,,,,,0.0673,0.6444,,
2001-10-03,TCF,R2,S4,C1,Surface,,,,,,,0.3059,4.4857,,
2001-10-03,TCF,R2,S5,C1,Middle,,,,,,,0.0505,0.3201,,
2001-10-03,TCF,R2,S5,C1,Surface,,,,,,,0.121,1.9001,,
2001-10-03,TSF,R3,S1,C1,Deep,,,,,,,0.0189,0.9527,,
2001-10-03,TSF,R3,S1,C1,Middle,,,,,,,0.0215,0.4519,,
2001-10-03,TSF,R3,S1,C1,Surface,,,,,,,0.2142,2.6079,,
2001-10-03,TSF,R3,S5,C1,Deep,,,,,,,0.0118,0.0661,,
2001-10-03,TSF,R3,S5,C1,Middle,,,,,,,0.0435,0.179,,
2001-10-03,TSF,R3,S5,C1,Surface,,,,,,,0.1089,1.2728,,
