# Soil Moisture - with Trace Gas Sampling,,,,,
#,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/157,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/157.csv,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/16.eml,,,,,
#,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,
#,,,,,
#     VARIATE TABLE,,,,,
"# date		sample date",,,,,
"# treatment		LTER treatment",,,,,
"# replicate		LTER replicate",,,,,
"# sub_plot		additional experimental treatment such as fertilization",,,,,
"# moisture	gramsPerGram	measured soil moisture as a fraction (dry weight basis)",,,,,
"# comments		comments about the observation",,,,,
#,,,,,
#,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,
#2012-10-2 Sven Bohm. Discovered that the wet and dry weights were not corrected by the tin weight in the lab. I uploaded the tin weights to the tins table and corrected the moistures in the view. The lack correction caused a slight under estimation of the soil moisture in this dataset.,,,,,
#2021-12-14 Sven Bohm. Added T and R prefixes to treatment and replicate.,,,,,
#,,,,,
#,,,,gramsPerGram,
date,treatment,replicate,sub_plot,moisture,comments
8/15/2007,T3,R1,,0.09,
8/15/2007,T3,R2,,0.08,
8/15/2007,T3,R3,,0.07,
8/15/2007,T3,R4,,0.09,
8/15/2007,T4,R1,,0.08,
8/15/2007,T4,R2,,0.09,
8/15/2007,T4,R3,,0.1,
8/15/2007,T4,R4,,0.09,
8/15/2007,T5,R1,,0.09,
8/15/2007,T5,R2,,0.1,
8/15/2007,T5,R3,,0.13,
8/15/2007,T5,R4,,0.08,
8/15/2007,T6,R1,,0.06,
8/15/2007,T6,R2,,0.05,
8/15/2007,T6,R3,,0.07,
8/15/2007,T6,R4,,0.06,
8/15/2007,T7,R1,,0.08,
8/15/2007,T7,R2,,0.1,
8/15/2007,T7,R3,,0.08,
8/15/2007,T7,R4,,0.11,
8/15/2007,TDF,R1,,0.08,
8/15/2007,TDF,R2,,0.09,
8/15/2007,TDF,R3,,0.08,
8/29/2007,T1,R1,,0.13,
8/29/2007,T1,R2,,0.17,
8/29/2007,T1,R3,,0.11,
8/29/2007,T1,R4,,0.14,
8/29/2007,T2,R1,,0.13,
8/29/2007,T2,R2,,0.11,
8/29/2007,T2,R3,,0.15,
8/29/2007,T2,R4,,0.18,
8/29/2007,T3,R1,,0.15,
8/29/2007,T3,R2,,0.14,
8/29/2007,T3,R3,,0.15,
8/29/2007,T3,R4,,0.14,
8/29/2007,T4,R1,,0.14,
8/29/2007,T4,R2,,0.16,
8/29/2007,T4,R3,,0.18,
8/29/2007,T4,R4,,0.17,
8/29/2007,T5,R1,,0.18,
8/29/2007,T5,R2,,0.16,
8/29/2007,T5,R3,,0.15,
8/29/2007,T5,R4,,0.16,
8/29/2007,T6,R1,,0.17,
8/29/2007,T6,R2,,0.16,
8/29/2007,T6,R3,,0.19,
8/29/2007,T6,R4,,0.15,
8/29/2007,T7,R1,,0.16,
8/29/2007,T7,R2,,0.21,
4/17/2007,TDF,R3,,0.23,
4/25/2007,T1,R1,,0.14,
4/25/2007,T1,R2,,0.2,
4/25/2007,T1,R3,,0.18,
4/25/2007,T1,R4,,0.19,
4/25/2007,T2,R1,,0.17,
4/25/2007,T2,R2,,0.14,
4/25/2007,T2,R3,,0.19,
4/25/2007,T2,R4,,0.21,
4/25/2007,T3,R1,,0.19,
4/25/2007,T3,R2,,0.19,
4/25/2007,T3,R3,,0.17,
4/25/2007,T3,R4,,0.16,
4/25/2007,T4,R1,,0.18,
4/25/2007,T4,R2,,0.22,
4/25/2007,T4,R3,,0.2,
4/25/2007,T4,R4,,0.2,
4/25/2007,T5,R1,,0.22,
4/25/2007,T5,R2,,0.22,
4/25/2007,T5,R3,,0.2,
4/25/2007,T5,R4,,0.17,
4/25/2007,T6,R1,,0.2,
4/25/2007,T6,R2,,0.19,
4/25/2007,T6,R3,,0.24,
4/25/2007,T6,R4,,0.19,
4/25/2007,T7,R1,,0.22,
4/25/2007,T7,R2,,0.28,
4/25/2007,T7,R3,,0.21,
4/25/2007,T7,R4,,0.19,
4/25/2007,TDF,R1,,0.27,
4/25/2007,TDF,R2,,0.23,
4/25/2007,TDF,R3,,0.28,
5/9/2007,T1,R1,,0.11,
5/9/2007,T1,R2,,0.17,
5/9/2007,T1,R3,,0.08,
5/9/2007,T1,R4,,0.13,
5/9/2007,T2,R1,,0.11,
5/9/2007,T2,R2,,0.12,
5/9/2007,T2,R3,,0.1,
5/9/2007,T2,R4,,0.17,
5/9/2007,T3,R1,,0.15,
5/9/2007,T3,R2,,0.13,
5/9/2007,T3,R3,,0.13,
5/9/2007,T3,R4,,0.12,
5/9/2007,T4,R1,,0.17,
5/9/2007,T4,R2,,0.16,
5/9/2007,T4,R3,,0.17,
5/9/2007,T4,R4,,0.15,
5/9/2007,T5,R1,,0.18,
5/9/2007,T5,R2,,0.17,
5/9/2007,T5,R3,,0.15,
5/9/2007,T5,R4,,0.13,
5/9/2007,T6,R1,,0.2,
5/9/2007,T6,R2,,0.18,
5/9/2007,T6,R3,,0.17,
5/9/2007,T6,R4,,0.14,
5/9/2007,T7,R1,,0.16,
5/9/2007,T7,R2,,0.19,
5/9/2007,T7,R3,,0.14,
5/9/2007,T7,R4,,0.1,
5/9/2007,TDF,R1,,0.23,
5/9/2007,TDF,R2,,0.15,
5/9/2007,TDF,R3,,0.2,
5/30/2007,T1,R1,,0.08,
5/30/2007,T1,R2,,0.14,
5/30/2007,T1,R3,,0.09,
5/30/2007,T1,R4,,0.11,
5/30/2007,T2,R1,,0.09,
5/30/2007,T2,R2,,0.1,
5/30/2007,T2,R3,,0.11,
5/30/2007,T2,R4,,0.16,
5/30/2007,T3,R1,,0.13,
5/30/2007,T3,R2,,0.11,
5/30/2007,T3,R3,,0.1,
5/30/2007,T3,R4,,0.1,
5/30/2007,T4,R1,,0.12,
5/30/2007,T4,R2,,0.17,
5/30/2007,T4,R3,,0.15,
5/30/2007,T4,R4,,0.14,
5/30/2007,T5,R1,,0.17,
5/30/2007,T5,R2,,0.15,
5/30/2007,T5,R3,,0.18,
5/30/2007,T5,R4,,0.16,
5/30/2007,T6,R1,,0.15,
5/30/2007,T6,R2,,0.14,
5/30/2007,T6,R3,,0.17,
5/30/2007,T6,R4,,0.13,
5/30/2007,T7,R1,,0.13,
5/30/2007,T7,R2,,0.17,
5/30/2007,T7,R3,,0.13,
5/30/2007,T7,R4,,0.1,
5/30/2007,TDF,R1,,0.27,
5/30/2007,TDF,R2,,0.16,
5/30/2007,TDF,R3,,0.2,
6/13/2007,T1,R1,,0.01,
6/13/2007,T1,R2,,0.08,
6/13/2007,T1,R3,,0.05,
6/13/2007,T1,R4,,0.03,
6/13/2007,T2,R1,,0.03,
6/13/2007,T2,R2,,0.02,
6/13/2007,T2,R3,,0.03,
6/13/2007,T2,R4,,0.06,
6/13/2007,T3,R1,,0.04,
6/13/2007,T3,R2,,0.04,
6/13/2007,T3,R3,,0.03,
3/31/2003,T3,R2,,0.17,
6/13/2007,T3,R4,,0.02,
6/13/2007,T4,R1,,0.07,
6/13/2007,T4,R2,,0.11,
6/13/2007,T4,R3,,0.1,
6/13/2007,T4,R4,,0.05,
6/13/2007,T5,R2,,0.14,
6/13/2007,T5,R3,,0.14,
6/13/2007,T5,R4,,0.12,
6/13/2007,T6,R1,,0.12,
6/13/2007,T6,R2,,0.15,
6/13/2007,T6,R3,,0.17,
6/13/2007,T6,R4,,0.12,
6/13/2007,T7,R1,,0.07,
6/13/2007,T7,R2,,0.08,
6/13/2007,T7,R3,,0.09,
10/25/2006,T1,R4,,0.18,
10/25/2006,T2,R1,,0.16,
10/25/2006,T2,R2,,0.15,
10/25/2006,T2,R3,,0.16,
10/25/2006,T2,R4,,0.21,
10/25/2006,T3,R1,,0.19,
10/25/2006,T3,R2,,0.17,
10/25/2006,T3,R3,,0.17,
10/25/2006,T3,R4,,0.18,
10/25/2006,T4,R1,,0.18,
10/25/2006,T4,R2,,0.2,
10/25/2006,T4,R3,,0.22,
10/25/2006,T4,R4,,0.21,
10/25/2006,T5,R1,,0.23,
10/25/2006,T5,R2,,0.2,
10/25/2006,T5,R3,,0.19,
10/25/2006,T5,R4,,0.19,
10/25/2006,T6,R1,,0.23,
10/25/2006,T6,R2,,0.2,
10/25/2006,T6,R3,,0.22,
10/25/2006,T6,R4,,0.19,
10/25/2006,T7,R1,,0.19,
10/25/2006,T7,R2,,0.23,
10/25/2006,T7,R3,,0.2,
10/25/2006,T7,R4,,0.18,
10/25/2006,TDF,R1,,0.22,
10/25/2006,TDF,R2,,0.18,
10/25/2006,TDF,R3,,0.28,
11/8/2006,T1,R1,,0.16,
11/8/2006,T1,R2,,0.18,
11/8/2006,T1,R3,,0.14,
11/8/2006,T1,R4,,0.17,
11/8/2006,T2,R1,,0.16,
11/8/2006,T2,R2,,0.15,
11/8/2006,T2,R3,,0.16,
11/8/2006,T2,R4,,0.2,
11/8/2006,T3,R1,,0.17,
11/8/2006,T3,R2,,0.17,
11/8/2006,T3,R3,,0.16,
11/8/2006,T3,R4,,0.17,
11/8/2006,T4,R1,,0.18,
11/8/2006,T4,R2,,0.19,
11/8/2006,T4,R3,,0.21,
11/8/2006,T4,R4,,0.2,
11/8/2006,T5,R1,,0.21,
11/8/2006,T5,R2,,0.2,
11/8/2006,T5,R3,,0.2,
11/8/2006,T5,R4,,0.17,
11/8/2006,T6,R1,,0.22,
11/8/2006,T6,R2,,0.19,
11/8/2006,T6,R3,,0.21,
11/8/2006,T6,R4,,0.18,
11/8/2006,T7,R1,,0.21,
11/8/2006,T7,R2,,0.23,
11/8/2006,T7,R3,,0.19,
11/8/2006,T7,R4,,0.19,
11/8/2006,TDF,R1,,0.15,
11/8/2006,TDF,R2,,0.15,
11/8/2006,TDF,R3,,0.22,
3/29/2007,T1,R1,,0.14,
3/29/2007,T1,R2,,0.19,
3/29/2007,T1,R3,,0.13,
3/29/2007,T1,R4,,0.17,
3/29/2007,T2,R1,,0.15,
3/29/2007,T2,R2,,0.14,
3/29/2007,T2,R3,,0.16,
3/29/2007,T2,R4,,0.2,
3/29/2007,T3,R1,,0.18,
3/29/2007,T3,R2,,0.15,
3/29/2007,T3,R3,,0.16,
3/29/2007,T3,R4,,0.15,
3/29/2007,T4,R1,,0.16,
3/29/2007,T4,R2,,0.18,
3/29/2007,T4,R3,,0.2,
3/29/2007,T4,R4,,0.18,
3/29/2007,T5,R1,,0.23,
3/29/2007,T5,R2,,0.19,
3/29/2007,T5,R3,,0.19,
3/29/2007,T5,R4,,0.19,
3/29/2007,T6,R1,,0.18,
3/29/2007,T6,R2,,0.18,
3/29/2007,T6,R3,,0.21,
3/29/2007,T6,R4,,0.17,
3/29/2007,T7,R1,,0.2,
3/29/2007,T7,R2,,0.25,
3/29/2007,T7,R3,,0.19,
3/29/2007,T7,R4,,0.18,
3/29/2007,TDF,R1,,0.21,
3/29/2007,TDF,R2,,0.19,
3/29/2007,TDF,R3,,0.22,
4/17/2007,T1,R1,,0.15,
4/17/2007,T1,R2,,0.17,
4/17/2007,T1,R3,,0.14,
4/17/2007,T1,R4,,0.15,
4/17/2007,T2,R1,,0.13,
4/17/2007,T2,R2,,0.12,
4/17/2007,T2,R3,,0.16,
4/17/2007,T2,R4,,0.2,
4/17/2007,T3,R1,,0.17,
4/17/2007,T3,R2,,0.16,
4/17/2007,T3,R3,,0.16,
4/17/2007,T3,R4,,0.15,
4/17/2007,T4,R1,,0.15,
4/17/2007,T4,R2,,0.19,
4/17/2007,T4,R3,,0.2,
4/17/2007,T4,R4,,0.18,
4/17/2007,T5,R1,,0.21,
4/17/2007,T5,R2,,0.19,
4/17/2007,T5,R3,,0.18,
4/17/2007,T5,R4,,0.19,
4/17/2007,T6,R1,,0.2,
4/17/2007,T6,R2,,0.16,
4/17/2007,T6,R3,,0.23,
4/17/2007,T6,R4,,0.17,
4/17/2007,T7,R1,,0.2,
4/17/2007,T7,R2,,0.25,
4/17/2007,T7,R3,,0.17,
4/17/2007,T7,R4,,0.17,
4/17/2007,TDF,R1,,0.19,
4/17/2007,TDF,R2,,0.18,
8/1/2006,T2,R4,,0.13,
8/1/2006,T3,R1,,0.1,
8/1/2006,T3,R2,,0.09,
8/1/2006,T3,R3,,0.08,
8/1/2006,T3,R4,,0.08,
8/1/2006,T4,R1,,0.09,
8/1/2006,T4,R2,,0.12,
8/1/2006,T4,R3,,0.12,
8/1/2006,T4,R4,,0.14,
8/1/2006,T5,R1,,0.14,
8/1/2006,T5,R2,,0.15,
8/1/2006,T5,R3,,0.1,
8/1/2006,T5,R4,,0.12,
8/1/2006,T6,R1,,0.12,
8/1/2006,T6,R2,,0.11,
8/1/2006,T6,R3,,0.14,
8/1/2006,T6,R4,,0.09,
8/1/2006,T7,R1,,0.09,
8/1/2006,T7,R2,,0.12,
8/1/2006,T7,R3,,0.07,
8/1/2006,T7,R4,,0.11,
8/1/2006,TDF,R1,,0.15,
8/1/2006,TDF,R2,,0.08,
8/1/2006,TDF,R3,,0.1,
8/31/2006,T1,R1,,0.14,
8/31/2006,T1,R2,,0.19,
8/31/2006,T1,R3,,0.14,
8/31/2006,T1,R4,,0.16,
8/31/2006,T2,R1,,0.19,
8/31/2006,T2,R2,,0.14,
8/31/2006,T2,R3,,0.15,
8/31/2006,T2,R4,,0.2,
8/31/2006,T3,R1,,0.18,
8/31/2006,T3,R2,,0.16,
8/31/2006,T3,R3,,0.17,
8/31/2006,T3,R4,,0.16,
8/31/2006,T4,R1,,0.18,
8/31/2006,T4,R2,,0.19,
8/31/2006,T4,R3,,0.18,
8/31/2006,T4,R4,,0.19,
8/31/2006,T5,R1,,0.2,
8/31/2006,T5,R2,,0.17,
8/31/2006,T5,R3,,0.19,
8/31/2006,T5,R4,,0.17,
8/31/2006,T6,R1,,0.2,
8/31/2006,T6,R2,,0.17,
8/31/2006,T6,R3,,0.21,
8/31/2006,T6,R4,,0.18,
8/31/2006,T7,R1,,0.18,
8/31/2006,T7,R2,,0.22,
8/31/2006,T7,R3,,0.18,
8/31/2006,T7,R4,,0.16,
8/31/2006,TDF,R1,,0.22,
8/31/2006,TDF,R2,,0.18,
8/31/2006,TDF,R3,,0.2,
9/13/2006,T1,R1,,0.17,
9/13/2006,T1,R2,,0.21,
9/13/2006,T1,R3,,0.15,
9/13/2006,T1,R4,,0.2,
9/13/2006,T2,R1,,0.17,
9/13/2006,T2,R2,,0.15,
9/13/2006,T2,R3,,0.17,
9/13/2006,T2,R4,,0.2,
9/13/2006,T3,R1,,0.19,
9/13/2006,T3,R2,,0.19,
9/13/2006,T3,R3,,0.17,
9/13/2006,T3,R4,,0.17,
9/13/2006,T4,R1,,0.17,
9/13/2006,T4,R2,,0.19,
9/13/2006,T4,R3,,0.21,
9/13/2006,T4,R4,,0.2,
9/13/2006,T5,R1,,0.25,
9/13/2006,T5,R2,,0.17,
9/13/2006,T5,R3,,0.18,
9/13/2006,T5,R4,,0.17,
9/13/2006,T6,R1,,0.21,
9/13/2006,T6,R2,,0.21,
9/13/2006,T6,R3,,0.21,
9/13/2006,T6,R4,,0.2,
9/13/2006,T7,R1,,0.21,
9/13/2006,T7,R2,,0.24,
9/13/2006,T7,R3,,0.2,
9/13/2006,T7,R4,,0.18,
9/13/2006,TDF,R1,,0.26,
9/13/2006,TDF,R2,,0.18,
9/13/2006,TDF,R3,,0.23,
9/28/2006,T1,R1,,0.15,
9/28/2006,T1,R2,,0.18,
9/28/2006,T1,R3,,0.15,
9/28/2006,T1,R4,,0.17,
9/28/2006,T2,R1,,0.15,
9/28/2006,T2,R2,,0.15,
9/28/2006,T2,R3,,0.17,
9/28/2006,T2,R4,,0.2,
9/28/2006,T3,R1,,0.18,
9/28/2006,T3,R2,,0.18,
9/28/2006,T3,R3,,0.17,
9/28/2006,T3,R4,,0.16,
9/28/2006,T4,R1,,0.18,
9/28/2006,T4,R2,,0.21,
7/30/2003,T2,R2,,,
9/28/2006,T4,R3,,0.21,
9/28/2006,T4,R4,,0.2,
9/28/2006,T5,R1,,0.21,
9/28/2006,T5,R2,,0.16,
9/28/2006,T5,R3,,0.17,
9/28/2006,T5,R4,,0.17,
9/28/2006,T6,R1,,0.19,
9/28/2006,T6,R2,,0.18,
9/28/2006,T6,R3,,0.2,
9/28/2006,T6,R4,,0.17,
9/28/2006,T7,R1,,0.17,
9/28/2006,T7,R2,,0.21,
9/28/2006,T7,R3,,0.2,
9/28/2006,T7,R4,,0.17,
9/28/2006,TDF,R1,,0.21,
9/28/2006,TDF,R2,,0.17,
9/28/2006,TDF,R3,,0.21,
10/25/2006,T1,R1,,0.18,
10/25/2006,T1,R2,,0.21,
10/25/2006,T1,R3,,0.15,
6/13/2006,T3,R4,,0.15,
6/13/2006,T4,R1,,0.14,
6/13/2006,T4,R2,,0.17,
6/13/2006,T4,R3,,0.18,
6/13/2006,T4,R4,,0.16,
6/13/2006,T5,R1,,0.17,
6/13/2006,T5,R2,,0.15,
6/13/2006,T5,R3,,0.15,
6/13/2006,T5,R4,,0.16,
6/13/2006,T6,R1,,0.16,
6/13/2006,T6,R2,,0.15,
6/13/2006,T6,R3,,0.17,
6/13/2006,T6,R4,,0.15,
6/13/2006,T7,R1,,0.12,
6/13/2006,T7,R2,,0.16,
6/13/2006,T7,R3,,0.11,
6/13/2006,T7,R4,,0.11,
6/13/2006,TDF,R1,,0.22,
6/13/2006,TDF,R2,,0.14,
6/13/2006,TDF,R3,,0.2,
