# Soil Total Carbon and Nitrogen by Depth - Deep Cores,,,,,,,
#,,,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/164,,,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/164.csv,,,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/47.eml,,,,,,,
#,,,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,,,
#,,,,,,,
#     VARIATE TABLE,,,,,,,
"# sample_date		date the sample was taken",,,,,,,
"# treatment		treatment the sample was collected from",,,,,,,
"# replicate		replicate that the sample was collected from",,,,,,,
"# station		station within the plot that was sampled",,,,,,,
"# core		there were 2 cores taken at each sample site. in 2001 core 1 was analyzed and core 2 was archived.",,,,,,,
"# depth		slice of the deepcore",,,,,,,
"# n_percent	gramsPerHectogram	average percent N in the sample",,,,,,,
"# c_percent	gramsPerHectogram	average percent of C in the sample",,,,,,,
#,,,,,,,
#,,,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,,,
#2012-1-12. Sven Bohm. Discovered that T4 rep 6 had some sample_dates coded as 2006 rather than 2001. I've corrected the dates.,,,,,,,
#2012-1-13. Sven Bohm. Included the core in the data. In 2001 we only analyzed core 1. I also discovered that the dataset included all the individual approved measurements. I changed it to report one average measurement for each treatment, replicate, depth (section) and core.,,,,,
#2019-3-28 Sven Bohm. treatment T1 replicate 1 station 1 and 2  and T6 rep 1 station 5 had samples that were re-run and the re-run samples were coded with the wrong sample dates,  This resulted in two sample dates for those stations in the output dataset. I updated the sample_dates on the rerun samples and excluded the original samples from the dataset.,,,,,,
#,,,,,,,
#,,,,,,gramsPerHectogram,gramsPerHectogram
sample_date,treatment,replicate,station,core,depth,n_percent,c_percent
10/3/2001,TSF,R3,1,C1,Middle,0.0215,0.4519
10/3/2001,TSF,R3,1,C1,Surface,0.2142,2.6079
10/3/2001,TSF,R3,5,C1,Deep,0.0118,0.0661
10/3/2001,TSF,R3,5,C1,Middle,0.0435,0.179
10/3/2001,TSF,R3,5,C1,Surface,0.1089,1.2728
10/2/2001,TCF,R3,1,C1,Deep,0.019,0.107
10/2/2001,TCF,R3,1,C1,Middle,0.0548,0.5278
10/2/2001,TCF,R3,1,C1,Surface,0.1406,1.8594
10/2/2001,TCF,R3,2,C1,Deep,0.0192,0.1505
10/2/2001,TCF,R3,2,C1,Middle,0.0567,0.5236
10/2/2001,TCF,R3,2,C1,Surface,0.1174,1.6648
10/2/2001,TCF,R3,3,C1,Deep,0.0269,0.1693
10/2/2001,TCF,R3,3,C1,Middle,0.057,0.483
10/2/2001,TCF,R3,3,C1,Surface,0.1489,1.9539
10/2/2001,TCF,R3,4,C1,Middle,0.0514,0.5301
10/2/2001,TCF,R3,4,C1,Surface,0.1198,1.4137
10/2/2001,TCF,R3,5,C1,Deep,0.0159,0.0907
10/2/2001,TCF,R3,5,C1,Middle,0.044,0.3692
10/2/2001,TCF,R3,5,C1,Surface,0.1325,1.6024
10/1/2001,TDF,R2,1,C1,Deep,0.0312,0.2397
10/1/2001,TDF,R2,1,C1,Middle,0.0535,0.5371
10/1/2001,TDF,R2,1,C1,Surface,0.1977,2.5163
10/1/2001,TSF,R2,1,C1,Deep,0.0248,0.0569
10/1/2001,TSF,R2,1,C1,Middle,0.0573,0.3829
10/1/2001,TSF,R2,1,C1,Surface,0.1144,1.3277
10/1/2001,TSF,R2,2,C1,Deep,0.0144,0.1058
10/1/2001,TSF,R2,2,C1,Middle,0.0451,0.2645
10/1/2001,TSF,R2,2,C1,Surface,0.1161,1.2854
10/1/2001,TSF,R2,3,C1,Middle,0.0462,0.2599
10/1/2001,TSF,R2,3,C1,Surface,0.111,1.2406
10/1/2001,TSF,R2,4,C1,Middle,0.0454,0.3104
10/1/2001,TSF,R2,4,C1,Surface,0.1105,1.2079
10/1/2001,TSF,R2,5,C1,Deep,0.0332,0.1775
10/1/2001,TSF,R2,5,C1,Middle,0.0212,0.3599
10/1/2001,TSF,R2,5,C1,Surface,0.0658,1.0001
10/1/2001,TSF,R3,2,C1,Deep,0.0213,0.1663
10/1/2001,TSF,R3,2,C1,Middle,0.043,0.4085
10/1/2001,TSF,R3,2,C1,Surface,0.1027,1.5288
10/1/2001,TSF,R3,3,C1,Deep,0.0203,0.267
10/1/2001,TSF,R3,3,C1,Middle,0.0468,0.6116
10/1/2001,TSF,R3,3,C1,Surface,0.1912,2.19
10/1/2001,TSF,R3,4,C1,Middle,0.0373,0.3987
10/1/2001,TSF,R3,4,C1,Surface,0.1002,1.4121
9/18/2001,TDF,R1,1,C1,Deep,0.023,0.103
9/18/2001,TDF,R1,1,C1,Middle,0.0435,0.316
9/18/2001,TDF,R1,1,C1,Surface,0.1063,1.004
9/18/2001,TDF,R1,2,C1,Deep,0.0307,0.0675
9/18/2001,TDF,R1,2,C1,Middle,0.046,0.358
9/18/2001,TDF,R1,2,C1,Surface,0.0862,0.9453
9/18/2001,TDF,R1,3,C1,Deep,0.0335,0.0375
9/18/2001,TDF,R1,3,C1,Middle,0.0486,0.1638
9/18/2001,TDF,R1,3,C1,Surface,0.1177,1.3318
9/18/2001,TDF,R1,4,C1,Deep,0.0364,0.0835
9/18/2001,TDF,R1,4,C1,Middle,0.0665,0.1874
9/18/2001,TDF,R1,4,C1,Surface,0.1688,1.8846
9/18/2001,TDF,R1,5,C1,Deep,0.0213,0.0783
9/18/2001,TDF,R1,5,C1,Middle,0.0615,0.6011
9/18/2001,TDF,R1,5,C1,Surface,0.3064,4.3457
9/17/2001,TCF,R1,1,C1,Deep,0.0297,0.0129
9/17/2001,TCF,R1,1,C1,Middle,0.043,0.1368
9/17/2001,TCF,R1,1,C1,Surface,0.1222,1.7217
9/17/2001,TCF,R1,2,C1,Middle,0.0315,0.0914
9/17/2001,TCF,R1,2,C1,Surface,0.0951,1.2994
9/17/2001,TCF,R1,3,C1,Deep,0.02,0.1223
9/17/2001,TCF,R1,3,C1,Middle,0.038,0.325
9/17/2001,TCF,R1,3,C1,Surface,0.0969,1.6355
9/17/2001,TCF,R1,4,C1,Deep,0.0325,0.0413
9/17/2001,TCF,R1,4,C1,Middle,0.0287,0.016
9/17/2001,TCF,R1,4,C1,Surface,0.0855,1.1174
9/17/2001,TCF,R1,5,C1,Deep,0.019,0.1095
9/17/2001,TCF,R1,5,C1,Middle,0.044,0.0845
9/17/2001,TCF,R1,5,C1,Surface,0.0861,1.0075
9/10/2001,T8,R4,1,C1,Deep,0.0515,0.4459
9/10/2001,T8,R4,1,C1,Middle,0.0666,0.5227
