ApsimVersion = 7.10 r4220
Title = scen_1_1
           Date          bd(1) paddock.soybean.yield paddock.wheat.yield paddock.maize.yield          sw(1)          st(1) paddock.soybean.biomass paddock.wheat.biomass paddock.maize.biomass         stover         dul(1)         sat(1)          ph(1) n2o_bylayer_kgha(1) n2o_bylayer_kgha(2) n2o_bylayer_kgha(3) n2o_bylayer_kgha(4) n2o_bylayer_kgha(5) oc_bylayer_kgha(1) oc_bylayer_kgha(2) oc_bylayer_kgha(3) oc_bylayer_kgha(4) oc_bylayer_kgha(5)
   (dd/mm/yyyy)       (g/cm^3)               (kg/ha)             (kg/ha)             (kg/ha)        (mm/mm)           (oC)                 (kg/ha)               (kg/ha)               (kg/ha)        (kg/ha)        (mm/mm)        (mm/mm)           (pH)             (kg/ha)             (kg/ha)             (kg/ha)             (kg/ha)             (kg/ha)                (%)                (%)                (%)                (%)                (%)
     22/01/2003          0.800                   0.0                 0.0                 0.0          0.207         -6.995                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009200         0.43000400         0.43000400         0.23300600         0.19000800
     23/01/2003          0.800                   0.0                 0.0                 0.0          0.205         -7.513                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009200         0.43000400         0.43000400         0.23300600         0.19000800
     24/01/2003          0.800                   0.0                 0.0                 0.0          0.203         -7.317                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009200         0.43000400         0.43000400         0.23300600         0.19000800
     25/01/2003          0.800                   0.0                 0.0                 0.0          0.202         -7.122                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009200         0.43000400         0.43000400         0.23300600         0.19000800
     26/01/2003          0.800                   0.0                 0.0                 0.0          0.212         -6.958                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009200         0.43000400         0.43000400         0.23300600         0.19000800
     27/01/2003          0.800                   0.0                 0.0                 0.0          0.209         -7.297                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009200         0.43000400         0.43000400         0.23300600         0.19000800
     28/01/2003          0.800                   0.0                 0.0                 0.0          0.206         -5.887                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009200         0.43000400         0.43000400         0.23300600         0.19000800
     29/01/2003          0.800                   0.0                 0.0                 0.0          0.214         -4.803                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009200         0.43000400         0.43000400         0.23300600         0.19000800
     30/01/2003          0.800                   0.0                 0.0                 0.0          0.210         -4.358                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009200         0.43000400         0.43000400         0.23300600         0.19000800
     31/01/2003          0.800                   0.0                 0.0                 0.0          0.214         -3.159                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009200         0.43000400         0.43000400         0.23300600         0.19000800
     01/02/2003          0.800                   0.0                 0.0                 0.0          0.223         -1.022                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009300         0.43000400         0.43000400         0.23300600         0.19000800
     02/02/2003          0.800                   0.0                 0.0                 0.0          0.216          0.138                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009600         0.43000400         0.43000400         0.23300700         0.19000800
     03/02/2003          0.800                   0.0                 0.0                 0.0          0.226          0.949                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010200         0.43000400         0.43000400         0.23300700         0.19000800
     04/02/2003          0.800                   0.0                 0.0                 0.0          0.258          2.202                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300700         0.19000900
     05/02/2003          0.800                   0.0                 0.0                 0.0          0.249          1.477                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19000900
     06/02/2003          0.800                   0.0                 0.0                 0.0          0.242          0.696                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     07/02/2003          0.800                   0.0                 0.0                 0.0          0.242         -0.565                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     08/02/2003          0.800                   0.0                 0.0                 0.0          0.237         -1.895                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     09/02/2003          0.800                   0.0                 0.0                 0.0          0.241         -3.358                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     10/02/2003          0.800                   0.0                 0.0                 0.0          0.244         -3.439                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     11/02/2003          0.800                   0.0                 0.0                 0.0          0.240         -4.322                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     12/02/2003          0.800                   0.0                 0.0                 0.0          0.249         -4.476                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     13/02/2003          0.800                   0.0                 0.0                 0.0          0.244         -4.362                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     14/02/2003          0.800                   0.0                 0.0                 0.0          0.237         -3.585                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     15/02/2003          0.800                   0.0                 0.0                 0.0          0.233         -3.230                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     16/02/2003          0.800                   0.0                 0.0                 0.0          0.232         -3.152                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     17/02/2003          0.800                   0.0                 0.0                 0.0          0.229         -2.846                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     18/02/2003          0.800                   0.0                 0.0                 0.0          0.227         -2.503                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010300         0.43000500         0.43000500         0.23300800         0.19001000
     19/02/2003          0.800                   0.0                 0.0                 0.0          0.222         -2.094                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010400         0.43000500         0.43000500         0.23300800         0.19001000
     20/02/2003          0.800                   0.0                 0.0                 0.0          0.214         -0.557                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87010400         0.43000500         0.43000500         0.23300800         0.19001000
     21/02/2003          0.800                   0.0                 0.0                 0.0          0.209          1.974                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011000         0.43000600         0.43000500         0.23300800         0.19001000
     22/02/2003          0.800                   0.0                 0.0                 0.0          0.209          3.527                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011600         0.43000600         0.43000600         0.23300900         0.19001100
     23/02/2003          0.800                   0.0                 0.0                 0.0          0.208          3.686                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011700         0.43000700         0.43000600         0.23301000         0.19001200
     24/02/2003          0.800                   0.0                 0.0                 0.0          0.209          2.848                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301000         0.19001200
     25/02/2003          0.800                   0.0                 0.0                 0.0          0.209          0.686                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87011800         0.43000800         0.43000700         0.23301000         0.19001200
