"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,6.413,0,0,22,"APSIM","1_1",1,1,""
1990,0,2.512,0,22.2,"APSIM","1_1",1,1,""
1991,7.264,0,0,22.9,"APSIM","1_1",1,1,""
1992,0,1.169,0,23.1,"APSIM","1_1",1,1,""
1993,9.515,0,0,23.7,"APSIM","1_1",1,1,""
1994,0,2.578,0,23.8,"APSIM","1_1",1,1,""
1995,0,0,4.386,24.6,"APSIM","1_1",1,1,""
1996,8.106,0,0,24.7,"APSIM","1_1",1,1,""
1997,0,2.042,0,24.7,"APSIM","1_1",1,1,""
1998,0,0,3.329,25.4,"APSIM","1_1",1,1,""
1999,8.126,0,0,25.1,"APSIM","1_1",1,1,""
2000,0,2.154,0,25.1,"APSIM","1_1",1,1,""
2001,0,0,4.974,25.8,"APSIM","1_1",1,1,""
2002,7.842,0,0,26.1,"APSIM","1_1",1,1,""
2003,0,1.669,0,25.9,"APSIM","1_1",1,1,""
2004,0,0,4.279,26.2,"APSIM","1_1",1,1,""
2005,8.148,0,0,26.4,"APSIM","1_1",1,1,""
2006,0,1.832,0,26.4,"APSIM","1_1",1,1,""
2007,0,0,3.751,26.9,"APSIM","1_1",1,1,""
2008,9.38,0,0,27,"APSIM","1_1",1,1,""
2009,0,2.414,0,26.8,"APSIM","1_1",1,1,""
2010,0,0,3.818,27.5,"APSIM","1_1",1,1,""
2011,10.015,0,0,27.4,"APSIM","1_1",1,1,""
2012,0,2.427,0,27.2,"APSIM","1_1",1,1,""
2013,0,0,3.391,27.6,"APSIM","1_1",1,1,""
2014,10.594,0,0,27.8,"APSIM","1_1",1,1,""
2015,0,2.712,0,27.8,"APSIM","1_1",1,1,""
2016,0,0,3.776,28.6,"APSIM","1_1",1,1,""
2017,8.451,0,0,28.2,"APSIM","1_1",1,1,""
2018,0,2.889,0,28.2,"APSIM","1_1",1,1,""
2019,0,0,3.855,28.7,"APSIM","1_1",1,1,""
2020,9.382,0,0,29,"APSIM","1_1",1,1,""
2021,0,3.905,0,28.9,"APSIM","1_1",1,1,""
2022,0,0,2.29,29.4,"APSIM","1_1",1,1,""
2023,11.602,0,0,29.3,"APSIM","1_1",1,1,""
2024,0,1.613,0,29.4,"APSIM","1_1",1,1,""
2025,0,0,4.655,29.8,"APSIM","1_1",1,1,""
2026,9.41,0,0,30.1,"APSIM","1_1",1,1,""
2027,0,2.137,0,30.1,"APSIM","1_1",1,1,""
2028,0,0,5.559,30.4,"APSIM","1_1",1,1,""
2029,8.097,0,0,30.8,"APSIM","1_1",1,1,""
2030,0,3.06,0,30.7,"APSIM","1_1",1,1,""
2031,0,0,3.91,31.1,"APSIM","1_1",1,1,""
2032,9.855,0,0,31,"APSIM","1_1",1,1,""
2033,0,2.386,0,30.8,"APSIM","1_1",1,1,""
2034,0,0,4.712,31.1,"APSIM","1_1",1,1,""
2035,7.205,0,0,31.3,"APSIM","1_1",1,1,""
2036,0,1.846,0,31.2,"APSIM","1_1",1,1,""
2037,0,0,3.974,31.7,"APSIM","1_1",1,1,""
2038,10.01,0,0,31.8,"APSIM","1_1",1,1,""
2039,0,2.991,0,31.8,"APSIM","1_1",1,1,""
2040,0,0,3.871,32.3,"APSIM","1_1",1,1,""
2041,11.303,0,0,32.3,"APSIM","1_1",1,1,""
2042,0,2.21,0,32.2,"APSIM","1_1",1,1,""
