"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,6.578,0,0,22,"APSIM","5_41",5,4,1
1990,0,2.512,0,22.2,"APSIM","5_41",5,4,1
1991,7.264,0,0,22.9,"APSIM","5_41",5,4,1
1992,0,1.169,0,23.1,"APSIM","5_41",5,4,1
1993,9.515,0,0,23.7,"APSIM","5_41",5,4,1
1994,0,2.623,0,23.5,"APSIM","5_41",5,4,1
1995,0,0,3.804,24.3,"APSIM","5_41",5,4,1
1996,8.103,0,0,24.1,"APSIM","5_41",5,4,1
1997,0,2.062,0,24,"APSIM","5_41",5,4,1
1998,0,0,3.088,24.7,"APSIM","5_41",5,4,1
1999,8.066,0,0,24.2,"APSIM","5_41",5,4,1
2000,0,2.148,0,24.3,"APSIM","5_41",5,4,1
2001,0,0,4.362,25.1,"APSIM","5_41",5,4,1
2002,7.934,0,0,24.9,"APSIM","5_41",5,4,1
2003,0,1.669,0,24.9,"APSIM","5_41",5,4,1
2004,0,0,3.937,25.3,"APSIM","5_41",5,4,1
2005,8.031,0,0,25,"APSIM","5_41",5,4,1
2006,0,1.804,0,25,"APSIM","5_41",5,4,1
2007,0,0,4.068,25.7,"APSIM","5_41",5,4,1
2008,9.305,0,0,25.4,"APSIM","5_41",5,4,1
2009,0,2.409,0,25.3,"APSIM","5_41",5,4,1
2010,0,0,3.048,26.1,"APSIM","5_41",5,4,1
2011,10.005,0,0,25.7,"APSIM","5_41",5,4,1
2012,0,2.425,0,25.7,"APSIM","5_41",5,4,1
2013,0,0,2.386,26.2,"APSIM","5_41",5,4,1
2014,10.583,0,0,25.8,"APSIM","5_41",5,4,1
2015,0,2.716,0,25.9,"APSIM","5_41",5,4,1
2016,0,0,2.254,26.9,"APSIM","5_41",5,4,1
2017,8.451,0,0,26.4,"APSIM","5_41",5,4,1
2018,0,2.896,0,26.5,"APSIM","5_41",5,4,1
2019,0,0,3.232,27.1,"APSIM","5_41",5,4,1
2020,9.352,0,0,27.5,"APSIM","5_41",5,4,1
2021,0,3.905,0,27.4,"APSIM","5_41",5,4,1
2022,0,0,2.72,27.8,"APSIM","5_41",5,4,1
2023,8.339,0,0,27.6,"APSIM","5_41",5,4,1
2024,0,2.766,0,27.4,"APSIM","5_41",5,4,1
2025,0,0,3.81,27.6,"APSIM","5_41",5,4,1
2026,7.746,0,0,27.8,"APSIM","5_41",5,4,1
2027,0,2.648,0,27.7,"APSIM","5_41",5,4,1
2028,0,0,4.037,27.9,"APSIM","5_41",5,4,1
2029,5.748,0,0,28,"APSIM","5_41",5,4,1
2030,0,3.203,0,28.1,"APSIM","5_41",5,4,1
2031,0,0,4.418,28.4,"APSIM","5_41",5,4,1
2032,6.768,0,0,28.6,"APSIM","5_41",5,4,1
2033,0,3.512,0,28.4,"APSIM","5_41",5,4,1
2034,0,0,3.914,28.7,"APSIM","5_41",5,4,1
2035,9.112,0,0,28.6,"APSIM","5_41",5,4,1
2036,0,3.181,0,28.7,"APSIM","5_41",5,4,1
2037,0,0,3.132,28.9,"APSIM","5_41",5,4,1
2038,6.566,0,0,29,"APSIM","5_41",5,4,1
2039,0,2.299,0,28.9,"APSIM","5_41",5,4,1
2040,0,0,4.123,29,"APSIM","5_41",5,4,1
2041,5.066,0,0,29,"APSIM","5_41",5,4,1
2042,0,2.582,0,29.1,"APSIM","5_41",5,4,1
2043,0,0,4.31,29.2,"APSIM","5_41",5,4,1
2044,4.943,0,0,29.2,"APSIM","5_41",5,4,1
2045,0,2.683,0,29.1,"APSIM","5_41",5,4,1
2046,0,0,4.226,29.3,"APSIM","5_41",5,4,1
2047,7.478,0,0,29.4,"APSIM","5_41",5,4,1
2048,0,3.19,0,29.2,"APSIM","5_41",5,4,1
2049,0,0,2.838,29.4,"APSIM","5_41",5,4,1
2050,4.935,0,0,29.3,"APSIM","5_41",5,4,1
2051,0,2.94,0,29.3,"APSIM","5_41",5,4,1
2052,0,0,4.387,29.6,"APSIM","5_41",5,4,1
2053,4.723,0,0,29.5,"APSIM","5_41",5,4,1
2054,0,2.002,0,29.4,"APSIM","5_41",5,4,1
2055,0,0,3.24,29.4,"APSIM","5_41",5,4,1
2056,4.823,0,0,29.3,"APSIM","5_41",5,4,1
2057,0,2.156,0,29.3,"APSIM","5_41",5,4,1
2058,0,0,2.868,29.3,"APSIM","5_41",5,4,1
2059,6.668,0,0,29.1,"APSIM","5_41",5,4,1
2060,0,2.4,0,29.1,"APSIM","5_41",5,4,1
2061,0,0,2.351,29.2,"APSIM","5_41",5,4,1
2062,7.683,0,0,29,"APSIM","5_41",5,4,1
2063,0,2.074,0,29,"APSIM","5_41",5,4,1
2064,0,0,3.676,29.1,"APSIM","5_41",5,4,1
2065,5.191,0,0,29.2,"APSIM","5_41",5,4,1
2066,0,3.037,0,29,"APSIM","5_41",5,4,1
2067,0,0,2.859,29.3,"APSIM","5_41",5,4,1
2068,5.041,0,0,29,"APSIM","5_41",5,4,1
2069,0,2.111,0,29.1,"APSIM","5_41",5,4,1
2070,0,0,4.166,29.1,"APSIM","5_41",5,4,1
2071,7.156,0,0,29.2,"APSIM","5_41",5,4,1
2072,0,2.477,0,29.2,"APSIM","5_41",5,4,1
2073,0,0,1.49,29.3,"APSIM","5_41",5,4,1
2074,4.939,0,0,29,"APSIM","5_41",5,4,1
2075,0,1.937,0,29,"APSIM","5_41",5,4,1
2076,0,0,2.922,29,"APSIM","5_41",5,4,1
2077,4.733,0,0,28.9,"APSIM","5_41",5,4,1
2078,0,1.479,0,28.8,"APSIM","5_41",5,4,1
2079,0,0,4.061,28.9,"APSIM","5_41",5,4,1
2080,4.109,0,0,28.9,"APSIM","5_41",5,4,1
2081,0,2.241,0,28.8,"APSIM","5_41",5,4,1
2082,0,0,2.699,28.8,"APSIM","5_41",5,4,1
2083,3.484,0,0,28.7,"APSIM","5_41",5,4,1
2084,0,0.852,0,28.6,"APSIM","5_41",5,4,1
2085,0,0,4.32,28.6,"APSIM","5_41",5,4,1
2086,3.084,0,0,28.7,"APSIM","5_41",5,4,1
2087,0,1.28,0,28.6,"APSIM","5_41",5,4,1
2088,0,0,2.939,28.6,"APSIM","5_41",5,4,1
2089,6.946,0,0,28.6,"APSIM","5_41",5,4,1
2090,0,3.194,0,28.5,"APSIM","5_41",5,4,1
2091,0,0,1.261,28.7,"APSIM","5_41",5,4,1
2092,4.744,0,0,28.2,"APSIM","5_41",5,4,1
2093,0,1.705,0,28.2,"APSIM","5_41",5,4,1
2094,0,0,2.955,28.3,"APSIM","5_41",5,4,1
2095,4.31,0,0,28.3,"APSIM","5_41",5,4,1
2096,0,0.878,0,28.1,"APSIM","5_41",5,4,1
2097,0,0,3.205,28.2,"APSIM","5_41",5,4,1
2098,4.901,0,0,28.1,"APSIM","5_41",5,4,1
