"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,7.997,0,0,21.8,"APSIM","4_64",4,6,4
1990,0,3.181,0,21.8,"APSIM","4_64",4,6,4
1991,7.34,0,0,22.9,"APSIM","4_64",4,6,4
1992,0,2.249,0,23,"APSIM","4_64",4,6,4
1993,8.116,0,0,24,"APSIM","4_64",4,6,4
1994,0,2.479,0,24.1,"APSIM","4_64",4,6,4
1995,0,0,3.227,24.2,"APSIM","4_64",4,6,4
1996,8.537,0,0,24.4,"APSIM","4_64",4,6,4
1997,0,2.533,0,24.5,"APSIM","4_64",4,6,4
1998,0,0,1.064,25.6,"APSIM","4_64",4,6,4
1999,8.593,0,0,25.1,"APSIM","4_64",4,6,4
2000,0,3.173,0,25.4,"APSIM","4_64",4,6,4
2001,0,0,4.354,25.9,"APSIM","4_64",4,6,4
2002,7.344,0,0,26.2,"APSIM","4_64",4,6,4
2003,0,3.104,0,26.4,"APSIM","4_64",4,6,4
2004,0,0,2.24,27,"APSIM","4_64",4,6,4
2005,6.345,0,0,26.7,"APSIM","4_64",4,6,4
2006,0,2.656,0,27.3,"APSIM","4_64",4,6,4
2007,0,0,3.616,27.4,"APSIM","4_64",4,6,4
2008,9.665,0,0,27.6,"APSIM","4_64",4,6,4
2009,0,3.566,0,27.7,"APSIM","4_64",4,6,4
2010,0,0,2.421,28.4,"APSIM","4_64",4,6,4
2011,9.558,0,0,28.1,"APSIM","4_64",4,6,4
2012,0,2.505,0,28.3,"APSIM","4_64",4,6,4
2013,0,0,1.81,28.7,"APSIM","4_64",4,6,4
2014,10.232,0,0,28.6,"APSIM","4_64",4,6,4
2015,0,4.162,0,28.7,"APSIM","4_64",4,6,4
2016,0,0,1.65,29.9,"APSIM","4_64",4,6,4
2017,9.424,0,0,29.4,"APSIM","4_64",4,6,4
2018,0,0.931,0,29.6,"APSIM","4_64",4,6,4
2019,0,0,3.946,30.2,"APSIM","4_64",4,6,4
2020,9.056,0,0,30.4,"APSIM","4_64",4,6,4
2021,0,1.585,0,30.8,"APSIM","4_64",4,6,4
2022,0,0,3.085,30.6,"APSIM","4_64",4,6,4
2023,6.475,0,0,72.9,"APSIM","4_64",4,6,4
2024,0,2.429,0,72.8,"APSIM","4_64",4,6,4
2025,0,0,3.214,72.7,"APSIM","4_64",4,6,4
2026,2.241,0,0,72.3,"APSIM","4_64",4,6,4
2027,0,4.225,0,72.3,"APSIM","4_64",4,6,4
2028,0,0,3.891,72.6,"APSIM","4_64",4,6,4
2029,6.588,0,0,72.4,"APSIM","4_64",4,6,4
2030,0,2.624,0,72.4,"APSIM","4_64",4,6,4
2031,0,0,3.304,72.4,"APSIM","4_64",4,6,4
2032,6.185,0,0,72,"APSIM","4_64",4,6,4
2033,0,2.294,0,72.3,"APSIM","4_64",4,6,4
2034,0,0,3.107,72.3,"APSIM","4_64",4,6,4
2035,5.396,0,0,72,"APSIM","4_64",4,6,4
2036,0,2.115,0,72.1,"APSIM","4_64",4,6,4
2037,0,0,3.66,72.1,"APSIM","4_64",4,6,4
2038,2.404,0,0,71.8,"APSIM","4_64",4,6,4
2039,0,2.721,0,72.1,"APSIM","4_64",4,6,4
2040,0,0,3.95,72.1,"APSIM","4_64",4,6,4
2041,4.351,0,0,71.9,"APSIM","4_64",4,6,4
2042,0,2.622,0,72.2,"APSIM","4_64",4,6,4
2043,0,0,4.216,72.1,"APSIM","4_64",4,6,4
2044,5.623,0,0,72.1,"APSIM","4_64",4,6,4
2045,0,1.499,0,72.2,"APSIM","4_64",4,6,4
2046,0,0,3.676,72.3,"APSIM","4_64",4,6,4
2047,0.78,0,0,72.1,"APSIM","4_64",4,6,4
2048,0,1.953,0,72.3,"APSIM","4_64",4,6,4
2049,0,0,4.424,72.3,"APSIM","4_64",4,6,4
2050,3.35,0,0,72,"APSIM","4_64",4,6,4
2051,0,2.884,0,72.4,"APSIM","4_64",4,6,4
2052,0,0,3.127,72.7,"APSIM","4_64",4,6,4
2053,1.042,0,0,72.1,"APSIM","4_64",4,6,4
2054,0,1.348,0,72.3,"APSIM","4_64",4,6,4
2055,0,0,3.434,72.5,"APSIM","4_64",4,6,4
2056,1.344,0,0,72.3,"APSIM","4_64",4,6,4
2057,0,2.08,0,72.5,"APSIM","4_64",4,6,4
2058,0,0,3.505,72.7,"APSIM","4_64",4,6,4
2059,5.068,0,0,72.7,"APSIM","4_64",4,6,4
2060,0,2.026,0,72.9,"APSIM","4_64",4,6,4
2061,0,0,3.762,72.9,"APSIM","4_64",4,6,4
2062,4.236,0,0,72.9,"APSIM","4_64",4,6,4
2063,0,2.167,0,73.1,"APSIM","4_64",4,6,4
2064,0,0,4.229,73.2,"APSIM","4_64",4,6,4
2065,1.517,0,0,73,"APSIM","4_64",4,6,4
2066,0,1.99,0,73,"APSIM","4_64",4,6,4
2067,0,0,4.014,73.2,"APSIM","4_64",4,6,4
2068,5.066,0,0,72.9,"APSIM","4_64",4,6,4
2069,0,2.856,0,73.2,"APSIM","4_64",4,6,4
2070,0,0,3.917,73.3,"APSIM","4_64",4,6,4
2071,9.927,0,0,73.2,"APSIM","4_64",4,6,4
2072,0,2.368,0,73.3,"APSIM","4_64",4,6,4
2073,0,0,4.342,73.3,"APSIM","4_64",4,6,4
2074,3.058,0,0,73,"APSIM","4_64",4,6,4
2075,0,2.813,0,73.5,"APSIM","4_64",4,6,4
2076,0,0,3.473,73.7,"APSIM","4_64",4,6,4
2077,0.707,0,0,73.2,"APSIM","4_64",4,6,4
2078,0,1.596,0,73.3,"APSIM","4_64",4,6,4
2079,0,0,4.052,73.4,"APSIM","4_64",4,6,4
2080,2.084,0,0,73.4,"APSIM","4_64",4,6,4
2081,0,1.996,0,73.7,"APSIM","4_64",4,6,4
2082,0,0,4.409,73.6,"APSIM","4_64",4,6,4
2083,1.382,0,0,73.4,"APSIM","4_64",4,6,4
2084,0,2.566,0,73.6,"APSIM","4_64",4,6,4
2085,0,0,2.671,73.8,"APSIM","4_64",4,6,4
2086,1.972,0,0,73.1,"APSIM","4_64",4,6,4
2087,0,2.92,0,73.3,"APSIM","4_64",4,6,4
2088,0,0,4.368,73.7,"APSIM","4_64",4,6,4
2089,4.779,0,0,73.4,"APSIM","4_64",4,6,4
2090,0,1.536,0,73.7,"APSIM","4_64",4,6,4
2091,0,0,4.804,73.6,"APSIM","4_64",4,6,4
2092,6.668,0,0,73.5,"APSIM","4_64",4,6,4
2093,0,1.795,0,73.5,"APSIM","4_64",4,6,4
2094,0,0,3.747,73.5,"APSIM","4_64",4,6,4
2095,2.143,0,0,73.3,"APSIM","4_64",4,6,4
2096,0,1.883,0,73.6,"APSIM","4_64",4,6,4
2097,0,0,4.637,73.6,"APSIM","4_64",4,6,4
2098,0.534,0,0,73.3,"APSIM","4_64",4,6,4
2099,0,1.671,0,73.4,"APSIM","4_64",4,6,4
