"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,0,0,0,23.4,"APSIM","4_3",4,3,""
1990,2.75,0,0,23.3,"APSIM","4_3",4,3,""
1991,0,3.637,0,23.3,"APSIM","4_3",4,3,""
1992,0,0,0.131,24.3,"APSIM","4_3",4,3,""
1993,5.904,0,0,24.1,"APSIM","4_3",4,3,""
1994,0,2.734,0,24.2,"APSIM","4_3",4,3,""
1995,0,0,2.1,25,"APSIM","4_3",4,3,""
1996,5.998,0,0,25,"APSIM","4_3",4,3,""
1997,0,2.33,0,24.9,"APSIM","4_3",4,3,""
1998,0,0,2.277,25.8,"APSIM","4_3",4,3,""
1999,6.946,0,0,25.7,"APSIM","4_3",4,3,""
2000,0,1.575,0,25.7,"APSIM","4_3",4,3,""
2001,0,0,3.612,26.3,"APSIM","4_3",4,3,""
2002,5.596,0,0,26.5,"APSIM","4_3",4,3,""
2003,0,1.994,0,26.2,"APSIM","4_3",4,3,""
2004,0,0,3.363,26.7,"APSIM","4_3",4,3,""
2005,6.888,0,0,26.8,"APSIM","4_3",4,3,""
2006,0,1.894,0,26.7,"APSIM","4_3",4,3,""
2007,0,0,2.887,27.3,"APSIM","4_3",4,3,""
2008,6.324,0,0,27.2,"APSIM","4_3",4,3,""
2009,0,2.009,0,27,"APSIM","4_3",4,3,""
2010,0,0,3.579,27.7,"APSIM","4_3",4,3,""
2011,10.521,0,0,27.8,"APSIM","4_3",4,3,""
2012,0,2.735,0,27.7,"APSIM","4_3",4,3,""
2013,0,0,2.296,28.2,"APSIM","4_3",4,3,""
2014,6.92,0,0,28.1,"APSIM","4_3",4,3,""
2015,0,2.711,0,28,"APSIM","4_3",4,3,""
2016,0,0,2.931,28.7,"APSIM","4_3",4,3,""
2017,7.599,0,0,28.5,"APSIM","4_3",4,3,""
2018,0,3.016,0,28.4,"APSIM","4_3",4,3,""
2019,0,0,2.891,29.1,"APSIM","4_3",4,3,""
2020,5.749,0,0,29.2,"APSIM","4_3",4,3,""
2021,0,2.645,0,28.9,"APSIM","4_3",4,3,""
2022,0,0,1.426,29.2,"APSIM","4_3",4,3,""
2023,6.593,0,0,29,"APSIM","4_3",4,3,""
2024,0,2.913,0,28.8,"APSIM","4_3",4,3,""
2025,0,0,2.672,29.1,"APSIM","4_3",4,3,""
2026,5.18,0,0,29.2,"APSIM","4_3",4,3,""
2027,0,3.34,0,28.9,"APSIM","4_3",4,3,""
2028,0,0,2.269,29.5,"APSIM","4_3",4,3,""
2029,4.003,0,0,29.4,"APSIM","4_3",4,3,""
2030,0,2.592,0,29,"APSIM","4_3",4,3,""
2031,0,0,3.142,29.3,"APSIM","4_3",4,3,""
2032,4.674,0,0,29.3,"APSIM","4_3",4,3,""
2033,0,3.387,0,29.2,"APSIM","4_3",4,3,""
2034,0,0,3.187,29.5,"APSIM","4_3",4,3,""
2035,4.603,0,0,29.5,"APSIM","4_3",4,3,""
2036,0,2.991,0,29.3,"APSIM","4_3",4,3,""
2037,0,0,2.754,29.7,"APSIM","4_3",4,3,""
2038,5.635,0,0,29.5,"APSIM","4_3",4,3,""
2039,0,3.25,0,29.3,"APSIM","4_3",4,3,""
2040,0,0,3.252,29.7,"APSIM","4_3",4,3,""
2041,5.133,0,0,29.6,"APSIM","4_3",4,3,""
2042,0,3.749,0,29.5,"APSIM","4_3",4,3,""
2043,0,0,2.289,30.1,"APSIM","4_3",4,3,""
2044,3.582,0,0,30,"APSIM","4_3",4,3,""
2045,0,2.73,0,29.9,"APSIM","4_3",4,3,""
2046,0,0,3.213,30.1,"APSIM","4_3",4,3,""
2047,2.524,0,0,30.3,"APSIM","4_3",4,3,""
2048,0,2.837,0,30,"APSIM","4_3",4,3,""
2049,0,0,3.252,30.2,"APSIM","4_3",4,3,""
2050,6.247,0,0,30,"APSIM","4_3",4,3,""
2051,0,3.504,0,29.9,"APSIM","4_3",4,3,""
2052,0,0,2.154,30.3,"APSIM","4_3",4,3,""
2053,5.283,0,0,29.9,"APSIM","4_3",4,3,""
2054,0,2.541,0,29.8,"APSIM","4_3",4,3,""
2055,0,0,2.54,30,"APSIM","4_3",4,3,""
2056,4.528,0,0,30,"APSIM","4_3",4,3,""
2057,0,2.943,0,29.9,"APSIM","4_3",4,3,""
2058,0,0,2.819,30.3,"APSIM","4_3",4,3,""
2059,3.453,0,0,30.3,"APSIM","4_3",4,3,""
2060,0,2.951,0,30.1,"APSIM","4_3",4,3,""
2061,0,0,3.01,30.5,"APSIM","4_3",4,3,""
2062,6.398,0,0,30.4,"APSIM","4_3",4,3,""
2063,0,2.703,0,30.2,"APSIM","4_3",4,3,""
2064,0,0,3.523,30.5,"APSIM","4_3",4,3,""
2065,3.628,0,0,30.4,"APSIM","4_3",4,3,""
2066,0,3.164,0,30.2,"APSIM","4_3",4,3,""
2067,0,0,3.894,30.5,"APSIM","4_3",4,3,""
2068,4.242,0,0,30.5,"APSIM","4_3",4,3,""
2069,0,3.195,0,30.4,"APSIM","4_3",4,3,""
2070,0,0,3.305,30.6,"APSIM","4_3",4,3,""
2071,5.889,0,0,30.6,"APSIM","4_3",4,3,""
2072,0,3.085,0,30.3,"APSIM","4_3",4,3,""
2073,0,0,2.86,30.6,"APSIM","4_3",4,3,""
2074,6.576,0,0,30.4,"APSIM","4_3",4,3,""
2075,0,3.665,0,30.4,"APSIM","4_3",4,3,""
2076,0,0,1.865,30.7,"APSIM","4_3",4,3,""
2077,4.63,0,0,30.3,"APSIM","4_3",4,3,""
2078,0,2.845,0,30.2,"APSIM","4_3",4,3,""
2079,0,0,3.203,30.5,"APSIM","4_3",4,3,""
2080,5.79,0,0,30.4,"APSIM","4_3",4,3,""
2081,0,2.856,0,30.3,"APSIM","4_3",4,3,""
2082,0,0,2.767,30.5,"APSIM","4_3",4,3,""
2083,5.897,0,0,30.4,"APSIM","4_3",4,3,""
2084,0,2.692,0,30.2,"APSIM","4_3",4,3,""
2085,0,0,2.066,30.4,"APSIM","4_3",4,3,""
2086,4.652,0,0,30.1,"APSIM","4_3",4,3,""
2087,0,2.591,0,30.1,"APSIM","4_3",4,3,""
2088,0,0,2.975,30.3,"APSIM","4_3",4,3,""
2089,4.448,0,0,30.4,"APSIM","4_3",4,3,""
2090,0,2.9,0,30.2,"APSIM","4_3",4,3,""
2091,0,0,1.863,30.4,"APSIM","4_3",4,3,""
2092,6.311,0,0,30.1,"APSIM","4_3",4,3,""
2093,0,3.171,0,30,"APSIM","4_3",4,3,""
2094,0,0,3.597,30.4,"APSIM","4_3",4,3,""
2095,5.369,0,0,30.2,"APSIM","4_3",4,3,""
2096,0,2.882,0,30.1,"APSIM","4_3",4,3,""
2097,0,0,2.227,30.3,"APSIM","4_3",4,3,""
2098,5.192,0,0,30,"APSIM","4_3",4,3,""
2099,0,2.681,0,29.9,"APSIM","4_3",4,3,""
2100,0,0,3.442,30.2,"APSIM","4_3",4,3,""
