"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
2090,0,2.112,0,36.8,"APSIM","1_53",1,5,3
2091,0,0,4.025,37,"APSIM","1_53",1,5,3
2092,9.999,0,0,37,"APSIM","1_53",1,5,3
2093,0,1.937,0,36.8,"APSIM","1_53",1,5,3
2094,0,0,5.032,37.2,"APSIM","1_53",1,5,3
2095,10.426,0,0,37.4,"APSIM","1_53",1,5,3
2096,0,2.152,0,37,"APSIM","1_53",1,5,3
2097,0,0,3.934,37.2,"APSIM","1_53",1,5,3
2098,10.95,0,0,37.6,"APSIM","1_53",1,5,3
2099,0,2.887,0,37.6,"APSIM","1_53",1,5,3
2100,0,0,4.934,38,"APSIM","1_53",1,5,3
