"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,6.414,0,0,22,"APSIM","1_44",1,4,4
1990,0,2.512,0,22.2,"APSIM","1_44",1,4,4
1991,7.264,0,0,22.9,"APSIM","1_44",1,4,4
1992,0,1.169,0,23.1,"APSIM","1_44",1,4,4
1993,9.515,0,0,23.7,"APSIM","1_44",1,4,4
1994,0,2.623,0,23.5,"APSIM","1_44",1,4,4
1995,0,0,3.758,24.4,"APSIM","1_44",1,4,4
1996,8.103,0,0,24.2,"APSIM","1_44",1,4,4
1997,0,2.062,0,24,"APSIM","1_44",1,4,4
1998,0,0,3.076,24.8,"APSIM","1_44",1,4,4
1999,8.066,0,0,24.2,"APSIM","1_44",1,4,4
2000,0,2.147,0,24.4,"APSIM","1_44",1,4,4
2001,0,0,4.358,25.1,"APSIM","1_44",1,4,4
2002,7.934,0,0,24.9,"APSIM","1_44",1,4,4
2003,0,1.668,0,24.9,"APSIM","1_44",1,4,4
2004,0,0,3.931,25.4,"APSIM","1_44",1,4,4
2005,8.031,0,0,25,"APSIM","1_44",1,4,4
2006,0,1.804,0,25.1,"APSIM","1_44",1,4,4
2007,0,0,4.066,25.7,"APSIM","1_44",1,4,4
2008,9.305,0,0,25.4,"APSIM","1_44",1,4,4
2009,0,2.409,0,25.4,"APSIM","1_44",1,4,4
2010,0,0,3.027,26.2,"APSIM","1_44",1,4,4
2011,10.005,0,0,25.7,"APSIM","1_44",1,4,4
2012,0,2.425,0,25.7,"APSIM","1_44",1,4,4
2013,0,0,2.403,26.3,"APSIM","1_44",1,4,4
2014,10.583,0,0,25.9,"APSIM","1_44",1,4,4
2015,0,2.716,0,26,"APSIM","1_44",1,4,4
2016,0,0,2.21,27,"APSIM","1_44",1,4,4
2017,8.451,0,0,26.5,"APSIM","1_44",1,4,4
2018,0,2.897,0,26.6,"APSIM","1_44",1,4,4
2019,0,0,3.225,27.2,"APSIM","1_44",1,4,4
2020,9.354,0,0,27.6,"APSIM","1_44",1,4,4
2021,0,3.905,0,27.5,"APSIM","1_44",1,4,4
2022,0,0,3.272,28,"APSIM","1_44",1,4,4
2023,11.615,0,0,27.8,"APSIM","1_44",1,4,4
2024,0,1.626,0,27.8,"APSIM","1_44",1,4,4
2025,0,0,4.575,28.4,"APSIM","1_44",1,4,4
2026,9.363,0,0,28.6,"APSIM","1_44",1,4,4
2027,0,2.163,0,28.6,"APSIM","1_44",1,4,4
2028,0,0,4.603,29,"APSIM","1_44",1,4,4
2029,8.107,0,0,29.3,"APSIM","1_44",1,4,4
2030,0,3.062,0,29.2,"APSIM","1_44",1,4,4
2031,0,0,3.751,29.7,"APSIM","1_44",1,4,4
2032,9.894,0,0,29.6,"APSIM","1_44",1,4,4
2033,0,2.387,0,29.4,"APSIM","1_44",1,4,4
2034,0,0,4.238,29.7,"APSIM","1_44",1,4,4
2035,7.198,0,0,29.8,"APSIM","1_44",1,4,4
2036,0,1.843,0,29.8,"APSIM","1_44",1,4,4
2037,0,0,3.901,30.3,"APSIM","1_44",1,4,4
2038,10.023,0,0,30.3,"APSIM","1_44",1,4,4
2039,0,2.979,0,30.3,"APSIM","1_44",1,4,4
2040,0,0,2.902,30.9,"APSIM","1_44",1,4,4
2041,11.316,0,0,30.9,"APSIM","1_44",1,4,4
2042,0,2.179,0,30.9,"APSIM","1_44",1,4,4
2043,0,0,4.186,31.3,"APSIM","1_44",1,4,4
2044,8.714,0,0,31.4,"APSIM","1_44",1,4,4
2045,0,1.845,0,31.2,"APSIM","1_44",1,4,4
