"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,7.992,0,0,21.8,"APSIM","1_65",1,6,5
1990,0,3.181,0,21.8,"APSIM","1_65",1,6,5
1991,7.34,0,0,22.9,"APSIM","1_65",1,6,5
1992,0,2.249,0,23,"APSIM","1_65",1,6,5
1993,8.15,0,0,24,"APSIM","1_65",1,6,5
1994,0,2.479,0,24.1,"APSIM","1_65",1,6,5
1995,0,0,3.237,24.2,"APSIM","1_65",1,6,5
1996,8.531,0,0,24.4,"APSIM","1_65",1,6,5
1997,0,2.533,0,24.5,"APSIM","1_65",1,6,5
1998,0,0,1.051,25.6,"APSIM","1_65",1,6,5
1999,8.593,0,0,25.1,"APSIM","1_65",1,6,5
2000,0,3.173,0,25.4,"APSIM","1_65",1,6,5
2001,0,0,4.349,25.9,"APSIM","1_65",1,6,5
2002,7.344,0,0,26.2,"APSIM","1_65",1,6,5
2003,0,3.103,0,26.4,"APSIM","1_65",1,6,5
2004,0,0,2.221,27,"APSIM","1_65",1,6,5
2005,6.345,0,0,26.7,"APSIM","1_65",1,6,5
2006,0,2.656,0,27.3,"APSIM","1_65",1,6,5
2007,0,0,3.614,27.4,"APSIM","1_65",1,6,5
2008,9.666,0,0,27.6,"APSIM","1_65",1,6,5
2009,0,3.566,0,27.7,"APSIM","1_65",1,6,5
2010,0,0,2.392,28.4,"APSIM","1_65",1,6,5
2011,9.558,0,0,28.2,"APSIM","1_65",1,6,5
2012,0,2.505,0,28.4,"APSIM","1_65",1,6,5
2013,0,0,1.793,28.8,"APSIM","1_65",1,6,5
2014,10.241,0,0,28.7,"APSIM","1_65",1,6,5
2015,0,4.162,0,28.7,"APSIM","1_65",1,6,5
2016,0,0,1.618,29.9,"APSIM","1_65",1,6,5
2017,9.424,0,0,29.4,"APSIM","1_65",1,6,5
2018,0,0.931,0,29.7,"APSIM","1_65",1,6,5
2019,0,0,3.942,30.3,"APSIM","1_65",1,6,5
2020,9.056,0,0,30.5,"APSIM","1_65",1,6,5
2021,0,1.585,0,30.9,"APSIM","1_65",1,6,5
2022,0,0,3.611,30.6,"APSIM","1_65",1,6,5
2023,10.295,0,0,83.6,"APSIM","1_65",1,6,5
2024,0,2.181,0,83.5,"APSIM","1_65",1,6,5
2025,0,0,4.258,83.8,"APSIM","1_65",1,6,5
2026,10.623,0,0,83.9,"APSIM","1_65",1,6,5
2027,0,3.39,0,84.2,"APSIM","1_65",1,6,5
2028,0,0,3.925,84.3,"APSIM","1_65",1,6,5
2029,9.628,0,0,84.4,"APSIM","1_65",1,6,5
2030,0,3.825,0,84.2,"APSIM","1_65",1,6,5
2031,0,0,3.889,84.7,"APSIM","1_65",1,6,5
2032,10.735,0,0,84.5,"APSIM","1_65",1,6,5
2033,0,2.921,0,84.3,"APSIM","1_65",1,6,5
2034,0,0,3.898,84.8,"APSIM","1_65",1,6,5
2035,8.126,0,0,84.6,"APSIM","1_65",1,6,5
2036,0,3.073,0,85,"APSIM","1_65",1,6,5
2037,0,0,4.237,84.9,"APSIM","1_65",1,6,5
2038,9.981,0,0,84.9,"APSIM","1_65",1,6,5
2039,0,4.03,0,85,"APSIM","1_65",1,6,5
2040,0,0,4.184,85.2,"APSIM","1_65",1,6,5
2041,10.299,0,0,85.1,"APSIM","1_65",1,6,5
2042,0,3.063,0,85.2,"APSIM","1_65",1,6,5
2043,0,0,4.393,86,"APSIM","1_65",1,6,5
2044,10.109,0,0,85.7,"APSIM","1_65",1,6,5
2045,0,3.06,0,85.9,"APSIM","1_65",1,6,5
2046,0,0,3.861,85.8,"APSIM","1_65",1,6,5
2047,10.108,0,0,85.7,"APSIM","1_65",1,6,5
2048,0,3.834,0,85.9,"APSIM","1_65",1,6,5
2049,0,0,3.373,86.1,"APSIM","1_65",1,6,5
2050,10.39,0,0,85.7,"APSIM","1_65",1,6,5
2051,0,3.698,0,85.7,"APSIM","1_65",1,6,5
2052,0,0,4.053,86.7,"APSIM","1_65",1,6,5
2053,10.191,0,0,86.8,"APSIM","1_65",1,6,5
2054,0,3.062,0,86.8,"APSIM","1_65",1,6,5
2055,0,0,4.237,86.9,"APSIM","1_65",1,6,5
2056,9.29,0,0,86.7,"APSIM","1_65",1,6,5
2057,0,3.517,0,86.7,"APSIM","1_65",1,6,5
2058,0,0,3.973,87.3,"APSIM","1_65",1,6,5
2059,9.632,0,0,87.2,"APSIM","1_65",1,6,5
2060,0,3.879,0,87.5,"APSIM","1_65",1,6,5
2061,0,0,3.424,87.3,"APSIM","1_65",1,6,5
2062,8.603,0,0,87.1,"APSIM","1_65",1,6,5
2063,0,3.13,0,87.3,"APSIM","1_65",1,6,5
2064,0,0,4.239,87.3,"APSIM","1_65",1,6,5
2065,9.458,0,0,87.5,"APSIM","1_65",1,6,5
2066,0,4.156,0,87.6,"APSIM","1_65",1,6,5
2067,0,0,3.836,88.3,"APSIM","1_65",1,6,5
2068,3.879,0,0,88,"APSIM","1_65",1,6,5
2069,0,2.582,0,88.4,"APSIM","1_65",1,6,5
2070,0,0,4.242,87.8,"APSIM","1_65",1,6,5
2071,11.543,0,0,88.2,"APSIM","1_65",1,6,5
2072,0,3.803,0,88.2,"APSIM","1_65",1,6,5
2073,0,0,3.794,88.7,"APSIM","1_65",1,6,5
2074,5.906,0,0,88.5,"APSIM","1_65",1,6,5
2075,0,3.614,0,89,"APSIM","1_65",1,6,5
2076,0,0,3.897,88.7,"APSIM","1_65",1,6,5
2077,9.85,0,0,88.7,"APSIM","1_65",1,6,5
2078,0,2.133,0,88.8,"APSIM","1_65",1,6,5
2079,0,0,4.641,88.6,"APSIM","1_65",1,6,5
2080,10.185,0,0,88.8,"APSIM","1_65",1,6,5
2081,0,2.669,0,89.1,"APSIM","1_65",1,6,5
2082,0,0,3.569,89.8,"APSIM","1_65",1,6,5
2083,10.756,0,0,89.3,"APSIM","1_65",1,6,5
2084,0,3.316,0,89.7,"APSIM","1_65",1,6,5
2085,0,0,4.788,89.4,"APSIM","1_65",1,6,5
2086,7.94,0,0,89.7,"APSIM","1_65",1,6,5
2087,0,3.005,0,90.1,"APSIM","1_65",1,6,5
2088,0,0,3.823,89.6,"APSIM","1_65",1,6,5
2089,6.939,0,0,89.6,"APSIM","1_65",1,6,5
2090,0,3.313,0,90.1,"APSIM","1_65",1,6,5
2091,0,0,3.806,89.9,"APSIM","1_65",1,6,5
2092,10.844,0,0,89.9,"APSIM","1_65",1,6,5
2093,0,3.785,0,90,"APSIM","1_65",1,6,5
2094,0,0,4.053,90.3,"APSIM","1_65",1,6,5
2095,9.454,0,0,90.2,"APSIM","1_65",1,6,5
2096,0,2.697,0,90.1,"APSIM","1_65",1,6,5
2097,0,0,3.821,90.3,"APSIM","1_65",1,6,5
2098,11.242,0,0,90.4,"APSIM","1_65",1,6,5
2099,0,4.174,0,90.4,"APSIM","1_65",1,6,5
