"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,7.995,0,0,21.8,"APSIM","2_64",2,6,4
1990,0,3.181,0,21.8,"APSIM","2_64",2,6,4
1991,7.34,0,0,22.9,"APSIM","2_64",2,6,4
1992,0,2.249,0,23,"APSIM","2_64",2,6,4
1993,8.249,0,0,24,"APSIM","2_64",2,6,4
1994,0,2.479,0,24.1,"APSIM","2_64",2,6,4
1995,0,0,3.244,24.2,"APSIM","2_64",2,6,4
1996,8.533,0,0,24.4,"APSIM","2_64",2,6,4
1997,0,2.533,0,24.5,"APSIM","2_64",2,6,4
1998,0,0,1.055,25.6,"APSIM","2_64",2,6,4
1999,8.593,0,0,25.1,"APSIM","2_64",2,6,4
2000,0,3.173,0,25.4,"APSIM","2_64",2,6,4
2001,0,0,4.351,25.9,"APSIM","2_64",2,6,4
2002,7.344,0,0,26.2,"APSIM","2_64",2,6,4
2003,0,3.103,0,26.4,"APSIM","2_64",2,6,4
2004,0,0,2.231,27,"APSIM","2_64",2,6,4
2005,6.345,0,0,26.7,"APSIM","2_64",2,6,4
2006,0,2.656,0,27.3,"APSIM","2_64",2,6,4
2007,0,0,3.615,27.4,"APSIM","2_64",2,6,4
2008,9.665,0,0,27.6,"APSIM","2_64",2,6,4
2009,0,3.566,0,27.7,"APSIM","2_64",2,6,4
2010,0,0,2.408,28.4,"APSIM","2_64",2,6,4
2011,9.558,0,0,28.2,"APSIM","2_64",2,6,4
2012,0,2.505,0,28.4,"APSIM","2_64",2,6,4
2013,0,0,1.802,28.7,"APSIM","2_64",2,6,4
2014,10.236,0,0,28.6,"APSIM","2_64",2,6,4
2015,0,4.162,0,28.7,"APSIM","2_64",2,6,4
2016,0,0,1.636,29.9,"APSIM","2_64",2,6,4
2017,9.424,0,0,29.4,"APSIM","2_64",2,6,4
2018,0,0.931,0,29.6,"APSIM","2_64",2,6,4
2019,0,0,3.944,30.3,"APSIM","2_64",2,6,4
2020,9.056,0,0,30.4,"APSIM","2_64",2,6,4
2021,0,1.585,0,30.9,"APSIM","2_64",2,6,4
2022,0,0,3.095,30.5,"APSIM","2_64",2,6,4
2023,7.21,0,0,72.8,"APSIM","2_64",2,6,4
2024,0,2.42,0,73.1,"APSIM","2_64",2,6,4
2025,0,0,3.224,73,"APSIM","2_64",2,6,4
2026,8.527,0,0,72.8,"APSIM","2_64",2,6,4
2027,0,3.369,0,73.2,"APSIM","2_64",2,6,4
2028,0,0,3.104,73.3,"APSIM","2_64",2,6,4
2029,9.284,0,0,72.8,"APSIM","2_64",2,6,4
2030,0,3.564,0,73,"APSIM","2_64",2,6,4
2031,0,0,3.936,73.2,"APSIM","2_64",2,6,4
2032,9.293,0,0,72.9,"APSIM","2_64",2,6,4
2033,0,2.985,0,73.4,"APSIM","2_64",2,6,4
2034,0,0,3.197,73.5,"APSIM","2_64",2,6,4
2035,8.789,0,0,72.8,"APSIM","2_64",2,6,4
2036,0,2.761,0,73.3,"APSIM","2_64",2,6,4
2037,0,0,4.702,73.1,"APSIM","2_64",2,6,4
2038,9.407,0,0,73,"APSIM","2_64",2,6,4
2039,0,2.772,0,73.5,"APSIM","2_64",2,6,4
2040,0,0,4.296,73.5,"APSIM","2_64",2,6,4
2041,7.804,0,0,73.3,"APSIM","2_64",2,6,4
2042,0,3.665,0,73.2,"APSIM","2_64",2,6,4
2043,0,0,3.975,73.2,"APSIM","2_64",2,6,4
2044,9.919,0,0,73.1,"APSIM","2_64",2,6,4
2045,0,3.218,0,73.4,"APSIM","2_64",2,6,4
2046,0,0,3.356,73.7,"APSIM","2_64",2,6,4
2047,9.326,0,0,73.4,"APSIM","2_64",2,6,4
2048,0,3.034,0,73.8,"APSIM","2_64",2,6,4
2049,0,0,3.96,73.8,"APSIM","2_64",2,6,4
2050,5.943,0,0,73.6,"APSIM","2_64",2,6,4
2051,0,3.508,0,73.8,"APSIM","2_64",2,6,4
2052,0,0,3.333,73.9,"APSIM","2_64",2,6,4
2053,7.991,0,0,73.8,"APSIM","2_64",2,6,4
2054,0,2.05,0,74.2,"APSIM","2_64",2,6,4
2055,0,0,3.34,74.3,"APSIM","2_64",2,6,4
2056,9.676,0,0,74,"APSIM","2_64",2,6,4
2057,0,1.886,0,74.1,"APSIM","2_64",2,6,4
2058,0,0,3.345,74.3,"APSIM","2_64",2,6,4
2059,6.725,0,0,73.9,"APSIM","2_64",2,6,4
2060,0,3.589,0,74.1,"APSIM","2_64",2,6,4
2061,0,0,3.721,74.4,"APSIM","2_64",2,6,4
2062,10.432,0,0,74.2,"APSIM","2_64",2,6,4
2063,0,3.516,0,74.7,"APSIM","2_64",2,6,4
2064,0,0,4.261,74.8,"APSIM","2_64",2,6,4
2065,9.339,0,0,74.8,"APSIM","2_64",2,6,4
2066,0,3.207,0,75.1,"APSIM","2_64",2,6,4
2067,0,0,4.448,75.3,"APSIM","2_64",2,6,4
2068,7.08,0,0,75.2,"APSIM","2_64",2,6,4
2069,0,3.951,0,75.3,"APSIM","2_64",2,6,4
2070,0,0,3.763,75.6,"APSIM","2_64",2,6,4
2071,7.998,0,0,75.1,"APSIM","2_64",2,6,4
2072,0,2.792,0,75.6,"APSIM","2_64",2,6,4
