"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,6.497,0,0,22,"APSIM","3_41",3,4,1
1990,0,2.512,0,22.2,"APSIM","3_41",3,4,1
1991,7.264,0,0,22.9,"APSIM","3_41",3,4,1
1992,0,1.169,0,23.1,"APSIM","3_41",3,4,1
1993,9.515,0,0,23.7,"APSIM","3_41",3,4,1
1994,0,2.623,0,23.5,"APSIM","3_41",3,4,1
1995,0,0,3.782,24.4,"APSIM","3_41",3,4,1
1996,8.103,0,0,24.2,"APSIM","3_41",3,4,1
1997,0,2.062,0,24,"APSIM","3_41",3,4,1
1998,0,0,3.083,24.7,"APSIM","3_41",3,4,1
1999,8.066,0,0,24.2,"APSIM","3_41",3,4,1
2000,0,2.148,0,24.3,"APSIM","3_41",3,4,1
2001,0,0,4.36,25.1,"APSIM","3_41",3,4,1
2002,7.934,0,0,24.9,"APSIM","3_41",3,4,1
2003,0,1.669,0,24.9,"APSIM","3_41",3,4,1
2004,0,0,3.934,25.3,"APSIM","3_41",3,4,1
2005,8.031,0,0,25,"APSIM","3_41",3,4,1
2006,0,1.804,0,25.1,"APSIM","3_41",3,4,1
2007,0,0,4.067,25.7,"APSIM","3_41",3,4,1
2008,9.305,0,0,25.4,"APSIM","3_41",3,4,1
2009,0,2.409,0,25.4,"APSIM","3_41",3,4,1
2010,0,0,3.038,26.2,"APSIM","3_41",3,4,1
2011,10.005,0,0,25.7,"APSIM","3_41",3,4,1
2012,0,2.425,0,25.7,"APSIM","3_41",3,4,1
2013,0,0,2.394,26.2,"APSIM","3_41",3,4,1
2014,10.583,0,0,25.9,"APSIM","3_41",3,4,1
2015,0,2.716,0,26,"APSIM","3_41",3,4,1
2016,0,0,2.226,26.9,"APSIM","3_41",3,4,1
2017,8.451,0,0,26.5,"APSIM","3_41",3,4,1
2018,0,2.896,0,26.6,"APSIM","3_41",3,4,1
2019,0,0,3.228,27.1,"APSIM","3_41",3,4,1
2020,9.353,0,0,27.5,"APSIM","3_41",3,4,1
2021,0,3.905,0,27.4,"APSIM","3_41",3,4,1
2022,0,0,1.933,27.9,"APSIM","3_41",3,4,1
2023,8.344,0,0,27.5,"APSIM","3_41",3,4,1
2024,0,4.351,0,27.4,"APSIM","3_41",3,4,1
2025,0,0,2.32,27.9,"APSIM","3_41",3,4,1
2026,9.754,0,0,27.7,"APSIM","3_41",3,4,1
2027,0,2.067,0,27.7,"APSIM","3_41",3,4,1
2028,0,0,4.453,28.1,"APSIM","3_41",3,4,1
2029,6.172,0,0,28.2,"APSIM","3_41",3,4,1
2030,0,3.077,0,28.1,"APSIM","3_41",3,4,1
2031,0,0,4.167,28.4,"APSIM","3_41",3,4,1
2032,5.933,0,0,28.5,"APSIM","3_41",3,4,1
2033,0,3.225,0,28.4,"APSIM","3_41",3,4,1
2034,0,0,3.378,28.7,"APSIM","3_41",3,4,1
2035,5.873,0,0,29.1,"APSIM","3_41",3,4,1
2036,0,4.406,0,29.1,"APSIM","3_41",3,4,1
2037,0,0,2.477,29.5,"APSIM","3_41",3,4,1
2038,7.282,0,0,29.2,"APSIM","3_41",3,4,1
2039,0,3.225,0,29.1,"APSIM","3_41",3,4,1
2040,0,0,2.687,29.3,"APSIM","3_41",3,4,1
2041,7.804,0,0,29.5,"APSIM","3_41",3,4,1
2042,0,2.98,0,29.4,"APSIM","3_41",3,4,1
2043,0,0,3.377,29.7,"APSIM","3_41",3,4,1
2044,7.999,0,0,29.7,"APSIM","3_41",3,4,1
2045,0,2.193,0,29.7,"APSIM","3_41",3,4,1
2046,0,0,3.734,29.7,"APSIM","3_41",3,4,1
2047,7.366,0,0,29.6,"APSIM","3_41",3,4,1
2048,0,3.801,0,29.7,"APSIM","3_41",3,4,1
2049,0,0,3.74,30.2,"APSIM","3_41",3,4,1
2050,6.588,0,0,30.1,"APSIM","3_41",3,4,1
2051,0,4.338,0,30,"APSIM","3_41",3,4,1
2052,0,0,2.323,30.4,"APSIM","3_41",3,4,1
2053,11.487,0,0,30,"APSIM","3_41",3,4,1
2054,0,3.153,0,30.1,"APSIM","3_41",3,4,1
2055,0,0,2.536,30.3,"APSIM","3_41",3,4,1
2056,6.976,0,0,30.3,"APSIM","3_41",3,4,1
2057,0,3.934,0,30.3,"APSIM","3_41",3,4,1
2058,0,0,3.007,30.6,"APSIM","3_41",3,4,1
2059,9.086,0,0,30.3,"APSIM","3_41",3,4,1
2060,0,3.28,0,30.3,"APSIM","3_41",3,4,1
2061,0,0,1.753,30.7,"APSIM","3_41",3,4,1
2062,7.377,0,0,30.4,"APSIM","3_41",3,4,1
2063,0,3.277,0,30.2,"APSIM","3_41",3,4,1
2064,0,0,4.249,30.5,"APSIM","3_41",3,4,1
2065,6.145,0,0,30.6,"APSIM","3_41",3,4,1
2066,0,3.82,0,30.4,"APSIM","3_41",3,4,1
2067,0,0,2.548,30.8,"APSIM","3_41",3,4,1
2068,7.207,0,0,30.7,"APSIM","3_41",3,4,1
2069,0,4.205,0,30.5,"APSIM","3_41",3,4,1
2070,0,0,3.523,30.9,"APSIM","3_41",3,4,1
2071,7.898,0,0,30.9,"APSIM","3_41",3,4,1
2072,0,2.518,0,30.9,"APSIM","3_41",3,4,1
2073,0,0,2.717,30.8,"APSIM","3_41",3,4,1
2074,9.758,0,0,30.7,"APSIM","3_41",3,4,1
2075,0,3.309,0,30.6,"APSIM","3_41",3,4,1
2076,0,0,3.87,30.9,"APSIM","3_41",3,4,1
2077,5.165,0,0,31,"APSIM","3_41",3,4,1
2078,0,2.99,0,30.9,"APSIM","3_41",3,4,1
2079,0,0,3,31,"APSIM","3_41",3,4,1
2080,9.976,0,0,30.8,"APSIM","3_41",3,4,1
2081,0,3.467,0,30.8,"APSIM","3_41",3,4,1
2082,0,0,3.759,31,"APSIM","3_41",3,4,1
