"year","treatment","observation_type","material","rate","units","equipment","date","crop"
1991,"T1","Fertilizer application","ammonium nitrate (34-0-0)",324,"pound","broadcast sprayer",1991-06-15,"Maize"
1991,"T1","Planting","Great Lakes 220 corn",25500,"seeds","unknown",1991-06-15,"Maize"
1991,"T2","Planting","Great Lakes 220 corn",25500,"seeds","unknown",1991-06-15,"Maize"
1991,"T2","Fertilizer application","ammonium nitrate (34-0-0)",324,"pound","broadcast sprayer",1991-06-17,"Maize"
1991,"T6","Harvest",NA,NA,NA,"baler",1991-07-11,NA
1991,"T6","Harvest",NA,NA,NA,"rake",1991-07-11,NA
1991,"T3","Harvest","soybeans",NA,"unknown","combine",1991-10-01,"Soybean"
1991,"T4","Harvest","soybeans",NA,"unknown","combine",1991-10-01,"Soybean"
1991,"T3","Planting","Augusta wheat",2.5,"bushel","unknown",1991-10-09,"Soybean"
1991,"T4","Planting","Augusta wheat",2.5,"bushel","unknown",1991-10-09,"Soybean"
1991,"T1","Harvest","corn",NA,"unknown","combine",1991-10-10,"Maize"
1991,"T2","Harvest","corn",NA,"unknown","combine",1991-10-10,"Maize"
1992,"T1","Soil Preparation",NA,NA,NA,"disk",1992-05-15,"Soybean"
1992,"T1","Soil Preparation",NA,NA,NA,"Moldboard plow",1992-05-15,"Soybean"
1992,"T1","Planting","Pioneer 9272 soybeans",190000,"plants","unknown",1992-05-18,"Soybean"
1992,"T1","Soil Preparation",NA,NA,NA,"cultipacker",1992-05-18,"Soybean"
1992,"T2","Planting","Pioneer 9272 soybeans",190000,"plants","unknown",1992-05-19,"Soybean"
1992,"T2","Fertilizer application","Dual 8E",2.5,"pint","broadcast sprayer",1992-05-20,"Soybean"
1992,"T2","Fertilizer application","Sencor pre-emergence 4L",0.5,"pint","broadcast sprayer",1992-05-20,"Soybean"
1992,"T2","Fertilizer application","water",20,"gallon","broadcast sprayer",1992-05-20,"Soybean"
1992,"T7","Soil Preparation",NA,NA,NA,NA,1992-05-21,NA
1992,"T6","Harvest",NA,NA,NA,"haybine",1992-05-27,NA
1992,"T6","Harvest","hay",NA,"unknown","chopper? for chopping...",1992-05-28,NA
1992,"T6","Fertilizer application","0-0-60 potash fertilizer",100,"pound","unknown",1992-06-03,NA
1992,"T6","Harvest",NA,NA,NA,"chopper? for chopping...",1992-07-09,NA
1992,"T3","Harvest","wheat",NA,"unknown","combine",1992-07-21,"Wheat"
1992,"T4","Harvest","wheat",NA,"unknown","combine",1992-07-21,"Wheat"
1992,"T3","Harvest","straw",NA,"unknown","baler",1992-07-27,"Wheat"
1992,"T4","Harvest","straw",NA,"unknown","baler",1992-07-27,"Wheat"
1992,"T4","Planting","hairy vetch",30,"pound","broadcast sprayer",1992-08-06,"Wheat"
1992,"T4","Soil Preparation",NA,NA,NA,"ridger...for ridging?",1992-08-06,"Wheat"
1992,"T6","Harvest",NA,NA,NA,"rake",1992-08-14,NA
1992,"T6","Harvest",NA,NA,NA,"baler",1992-08-17,NA
1992,"T3","Planting","hairy vetch",30,"pound","broadcast sprayer",1992-08-26,"Wheat"
1992,"T3","Soil Preparation",NA,NA,NA,"ridger...for ridging?",1992-08-26,"Wheat"
1992,"T1","Harvest","soybeans",NA,"unknown","combine",1992-10-26,"Soybean"
1992,"T2","Harvest","soybeans",NA,"unknown","combine",1992-10-27,"Soybean"
1993,"T1","Fertilizer application","0-0-60 potash fertilizer",80,"pound","broadcast sprayer",1993-04-27,"Maize"
1993,"T1","Fertilizer application","0-0-60 potash fertilizer",150,"pound","broadcast sprayer",1993-04-27,"Maize"
1993,"T1","Soil Preparation",NA,NA,NA,"plow --type unknown",1993-04-27,"Maize"
1993,"T2","Fertilizer application","0-0-60 potash fertilizer",80,"pound","broadcast sprayer",1993-04-27,"Maize"
1993,"T2","Fertilizer application","0-0-60 potash fertilizer",150,"pound","broadcast sprayer",1993-04-27,"Maize"
1993,"T3","Fertilizer application","0-0-60 potash fertilizer",80,"pound","broadcast sprayer",1993-04-27,"Maize"
1993,"T3","Fertilizer application","0-0-60 potash fertilizer",150,"pound","broadcast sprayer",1993-04-27,"Maize"
1993,"T1","Soil Preparation",NA,NA,NA,"Moldboard plow",1993-04-28,"Maize"
1993,"T1","Soil Preparation",NA,NA,NA,"disk",1993-05-06,"Maize"
1993,"T1","Planting","Great Lakes 450 corn",26000,"seeds","unknown",1993-05-07,"Maize"
1993,"T1","Soil Preparation",NA,NA,NA,"row cultivator --type unknown",1993-05-07,"Maize"
1993,"T2","Planting","Great Lakes 450 corn",26000,"plants","unknown",1993-05-07,"Maize"
1993,"T3","Fertilizer application","28% UAN (28-0-0)",18,"gallon","unknown",1993-05-14,"Maize"
1993,"T3","Planting","Great Lakes 450 corn",26000,"plants","unknown",1993-05-14,"Maize"
1993,"T4","Planting","Great Lakes 450 corn",26000,"plants","unknown",1993-05-14,"Maize"
1993,"T3","Soil Preparation",NA,NA,NA,"Rotary Hoe",1993-05-20,"Maize"
1993,"T4","Soil Preparation",NA,NA,NA,"Rotary Hoe",1993-05-20,"Maize"
1993,"T6","Harvest",NA,NA,NA,"haybine",1993-05-25,NA
1993,"T6","Harvest",NA,NA,NA,"chopper? for chopping...",1993-05-26,NA
1993,"T6","Fertilizer application","0-0-60 potash fertilizer",195,"pound","broadcast sprayer",1993-05-28,NA
1993,"T6","Fertilizer application","0-0-60 potash fertilizer",257,"pound","broadcast sprayer",1993-05-28,NA
1993,"T1","Fertilizer application","ammonium nitrate (34-0-0)",220,"pound","unknown",1993-06-30,"Maize"
1993,"T1","Fertilizer application","ammonium nitrate (34-0-0)",220,"pound","broadcast sprayer",1993-07-01,"Maize"
1993,"T2","Fertilizer application","ammonium nitrate (34-0-0)",220,"pound","broadcast sprayer",1993-07-01,"Maize"
1993,"T3","Soil Preparation",NA,NA,NA,"Hiniker between-row cultivator",1993-07-07,"Maize"
1993,"T4","Soil Preparation",NA,NA,NA,"ridger...for ridging?",1993-07-12,"Maize"
1993,"T6","Harvest",NA,NA,NA,"rake",1993-07-13,NA
1993,"T6","Harvest",NA,NA,NA,"baler",1993-07-15,NA
1993,"T3","Planting","hairy vetch",30,"pound","broadcast sprayer",1993-08-17,"Maize"
1993,"T3","Planting","hairy vetch",30,"pound","Tye Drill",1993-08-17,"Maize"
1993,"T3","Planting",NA,NA,NA,"high-boy (dairy)",1993-08-17,"Maize"
1993,"T4","Planting","hairy vetch",30,"pound","broadcast sprayer",1993-08-17,"Maize"
1993,"T4","Planting","hairy vetch",30,"pound","Tye Drill",1993-08-17,"Maize"
1993,"T4","Planting",NA,NA,NA,"high-boy (dairy)",1993-08-17,"Maize"
1993,"T6","Harvest","hay",NA,"unknown","New Holland 1469 - Haybiner",1993-09-01,NA
1993,"T6","Harvest",NA,NA,NA,NA,1993-09-01,NA
1993,"T6","Fertilizer application","2,4-D amine",1,"quart","broadcast sprayer",1993-10-05,NA
1993,"T6","Fertilizer application","Roundup (glyphosate)",2,"quart","broadcast sprayer",1993-10-05,NA
1993,"T6","Fertilizer application","water",10,"gallon","broadcast sprayer",1993-10-05,NA
1993,"T1","Soil Preparation",NA,NA,NA,"soil finisher --type unknown",1993-10-13,"Maize"
1993,"T6","Fertilizer application","Roundup (glyphosate)",2,"quart","unknown",1993-10-18,NA
1993,"T6","Fertilizer application","water",10,"gallon","unknown",1993-10-18,NA
1993,"T2","Harvest",NA,NA,NA,NA,1993-10-28,"Maize"
1993,"T3","Harvest",NA,NA,NA,"combine",1993-10-29,"Maize"
1993,"T3","Harvest","corn",NA,"unknown","combine",1993-11-02,"Maize"
1993,"T3","Harvest",NA,NA,NA,NA,1993-11-02,"Maize"
1993,"T4","Harvest","corn",NA,"unknown","combine",1993-11-06,"Maize"
1993,"T1","Harvest","corn",NA,"unknown","John Deere 4425 combine",1993-11-08,"Maize"
1993,"T1","Harvest","corn",NA,"unknown","combine",1993-11-09,"Maize"
1993,"T1","Harvest",NA,NA,NA,"John Deere 4425 combine",1993-11-09,"Maize"
1993,"T2","Harvest","corn",NA,"unknown","combine",1993-11-09,"Maize"
1993,"T4","Harvest",NA,NA,NA,NA,1993-11-18,"Maize"
1993,"T1","Harvest",NA,NA,NA,"flail mower",1993-11-22,"Maize"
1993,"T2","Harvest",NA,NA,NA,"flail mower",1993-11-22,"Maize"
1994,"T3","Harvest","corn stalks",NA,"unknown","flail mower",1994-04-07,"Soybean"
1994,"T4","Harvest","corn stalks",NA,"unknown","flail mower",1994-04-07,"Soybean"
1994,"T3","Soil Preparation",NA,NA,NA,"disk",1994-04-18,"Soybean"
1994,"T4","Soil Preparation",NA,NA,NA,"disk",1994-04-18,"Soybean"
1994,"T6","Planting","Pioneer 5246 alfalfa",18,"pound","Tye Drill",1994-04-21,NA
1994,"T6","Planting","alfalfa",NA,"unknown","unknown",1994-04-22,NA
1994,"T1","Soil Preparation",NA,NA,NA,"Moldboard plow",1994-05-04,"Soybean"
1994,"T3","Soil Preparation",NA,NA,NA,"Moldboard plow",1994-05-06,"Soybean"
1994,"T4","Soil Preparation",NA,NA,NA,"Moldboard plow",1994-05-06,"Soybean"
1994,"T7","Soil Preparation",NA,NA,NA,NA,1994-05-11,NA
1994,"T3","Soil Preparation",NA,NA,NA,"cultipacker",1994-05-12,"Soybean"
1994,"T3","Soil Preparation",NA,NA,NA,"row cultivator --type unknown",1994-05-12,"Soybean"
1994,"T1","Soil Preparation",NA,NA,NA,"disk",1994-05-13,"Soybean"
1994,"T1","Soil Preparation",NA,NA,NA,"cultipacker",1994-05-16,"Soybean"
1994,"T1","Soil Preparation",NA,NA,NA,"row cultivator --type unknown",1994-05-16,"Soybean"
