# Activity report,,,,
#,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/162,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/162.csv,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/7.eml,,,,
#,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,
# Use of the data constitutes acceptance of the terms.,,,,
#,,,,
#     VARIATE TABLE,,,,
"# Obs_date		observation date",,,,
"# Treatment		experimental treatment",,,,
"# Plot		plot where the activity occured",,,,
"# Observation_type		type of activity.",,,,
"# Equipment		equipment used during the activity.",,,,
#,,,,
#,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,
#,,,,
#,,,,
Obs_date,Treatment,Plot,Observation_type,Equipment
6/24/2019,T5,T5R1,Weed control,Top Air Sprayer
6/24/2019,T5,T5R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
6/24/2019,T5,T5R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/24/2019,T5,T5R1,Pesticide application,Top Air Sprayer
6/21/2019,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/21/2019,T1,T1R1,Pesticide application,Top Air Sprayer
6/21/2019,T2,T2R1,Pesticide application,Top Air Sprayer
6/21/2019,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/21/2019,T3,T3R1,Pesticide application,Top Air Sprayer
6/21/2019,T3,T3R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/21/2019,T8,T8ntR1,Pesticide application,Top Air Sprayer
6/21/2019,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/12/2019,T5,T5R1,Fertilizer application,Gandy Orbit-Air (30' boom)
6/7/2019,T6,T6R1,Weed control,Top Air Sprayer
6/7/2019,T6,T6R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/7/2019,T6,T6R1,Pesticide application,Top Air Sprayer
6/7/2019,T6,T6R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
6/6/2019,T5,T5R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/6/2019,T5,T5R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
6/6/2019,T5,T5R1,Pesticide application,Top Air Sprayer
6/6/2019,T5,T5R1,Weed control,Top Air Sprayer
6/4/2019,T3,T3R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/4/2019,T3,T3R1,Pesticide application,Top Air Sprayer
6/3/2019,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/3/2019,T1,T1R1,Pesticide application,Top Air Sprayer
6/3/2019,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/3/2019,T2,T2R1,Pesticide application,Top Air Sprayer
6/3/2019,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/3/2019,T8,T8ntR1,Pesticide application,Top Air Sprayer
5/21/2019,T7,T7R1,Soil Preparation,John Deere 960 10' field cultivator
5/8/2019,T8,T8ntR1,Fertilizer application,Top Air Sprayer
5/8/2019,T8,T8ntR1,Fertilizer application,Chafer Stream Bars
5/6/2019,T3,T3R1,Fertilizer application,Chafer Stream Bars
5/6/2019,T3,T3R1,Fertilizer application,Top Air Sprayer
5/5/2019,T1,T1R1,Fertilizer application,Top Air Sprayer
5/5/2019,T1,T1R1,Fertilizer application,Chafer Stream Bars
5/5/2019,T2,T2R1,Fertilizer application,Top Air Sprayer
5/5/2019,T2,T2R1,Fertilizer application,Chafer Stream Bars
4/25/2019,T3,T3R1P,Planting,Truax No Till Seed Drill
4/25/2019,T4,T4R1P,Planting,Truax No Till Seed Drill
4/24/2019,T5,T5R1,Mowing,John Deere 115 15' flail mower
4/22/2019,T3,T3R1,Weed control,Top Air Sprayer
4/22/2019,T3,T3R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
4/22/2019,T3,T3R1,Pesticide application,Top Air Sprayer
4/22/2019,T3,T3R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
4/17/2019,T1,T1R1,Pesticide application,Top Air Sprayer
4/17/2019,T1,T1R1,Weed control,Top Air Sprayer
4/17/2019,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
4/17/2019,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
4/17/2019,T2,T2R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
4/17/2019,T2,T2R1,Weed control,Top Air Sprayer
4/17/2019,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
4/17/2019,T2,T2R1,Pesticide application,Top Air Sprayer
4/17/2019,T8,T8ntR1,Weed control,Top Air Sprayer
4/17/2019,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
4/17/2019,T8,T8R1,Mowing,John Deere 115 15' flail mower
4/17/2019,T8,T8ntR1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
4/17/2019,T8,T8ntR1,Pesticide application,Top Air Sprayer
4/8/2019,T3,T3R1,Fertilizer application,Gandy Orbit-Air (30' boom)
3/28/2019,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
3/28/2019,T2,T2R1,Fertilizer application,Gandy Orbit-Air (30' boom)
3/28/2019,T8,T8ntR1,Fertilizer application,Gandy Orbit-Air (30' boom)
3/26/2019,T1,T1R1,Fertilizer application,Chafer Stream Bars
3/26/2019,T1,T1R1,Fertilizer application,Top Air Sprayer
3/26/2019,T3,T3R1,Fertilizer application,Chafer Stream Bars
3/26/2019,T3,T3R1,Fertilizer application,Top Air Sprayer
3/25/2019,T2,T2R1,Fertilizer application,Chafer Stream Bars
3/25/2019,T2,T2R1,Fertilizer application,Top Air Sprayer
3/23/2019,T8,T8ntR1,Fertilizer application,Top Air Sprayer
3/23/2019,T8,T8ntR1,Fertilizer application,Chafer Stream Bars
3/18/2019,T4,T4R1,Planting,Gandy Orbit-Air (15' boom)
10/30/2018,T3,T3R1,Pesticide application,Sprayer - Unknown 
10/30/2018,T3,T3R1,Weed control,Sprayer - Unknown 
10/27/2018,T4,T4R1,Soil Preparation,John Deere 1590 15' no-till drill
10/27/2018,T4,T4R1,Planting,John Deere 1590 15' no-till drill
10/26/2018,T3,T3R1,Planting,John Deere 1590 15' no-till drill
10/26/2018,T3,T3R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
10/26/2018,T4,T4R1,Soil Preparation,John Deere 714 Chisel plow
10/19/2018,T1,T1R1,Planting,John Deere 1590 15' no-till drill
10/19/2018,T3,T3R1,Soil Preparation,John Deere 714 Chisel plow
10/18/2018,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
10/18/2018,T4,T4R1,Harvest,John Deere  9410 combine
10/18/2018,T4,T4R1,Harvest,Truck #892 (Blue/Red)
10/18/2018,T4,T4R1,Harvest,Wagon
10/18/2018,T4,T4R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/18/2018,T4,T4R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/17/2018,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
10/17/2018,T2,T2R1,Planting,John Deere 1590 15' no-till drill
10/17/2018,T8,T8ntR1,Planting,John Deere 1590 15' no-till drill
10/16/2018,T8,T8ntR1,Harvest,Kincaid 8XP Plot Combine
10/16/2018,T8,T8ntR1,Harvest,Truck #892 (Blue/Red)
10/10/2018,T2,T2R1,Planting,John Deere 1590 15' no-till drill
10/9/2018,T1,T1R1,Harvest,Truck #1271 (Blue/White)
10/9/2018,T1,T1R1,Harvest,Truck #892 (Blue/Red)
10/9/2018,T1,T1R1,Harvest,Truck #1270 (White/Green)
10/9/2018,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/9/2018,T1,T1R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/9/2018,T1,T1R1,Harvest,John Deere  9410 combine
10/9/2018,T2,T2R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/9/2018,T2,T2R1,Harvest,Truck #892 (Blue/Red)
10/9/2018,T2,T2R1,Harvest,John Deere  9410 combine
10/9/2018,T2,T2R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/9/2018,T2,T2R1,Harvest,Truck #1270 (White/Green)
10/9/2018,T2,T2R1,Harvest,Truck #1271 (Blue/White)
10/9/2018,T3,T3R1,Harvest,John Deere  9410 combine
10/9/2018,T3,T3R1,Harvest,Truck #1271 (Blue/White)
10/9/2018,T3,T3R1,Harvest,Truck #1270 (White/Green)
10/9/2018,T3,T3R1,Harvest,Truck #892 (Blue/Red)
10/9/2018,T3,T3R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/9/2018,T3,T3R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/9/2018,T5,T5R1,Pesticide application,Hagie Sprayer
10/9/2018,T6,T6R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
10/9/2018,T6,T6R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
10/9/2018,T6,T6R1,Weed control,Top Air Sprayer
10/9/2018,T6,T6R1,Pesticide application,Top Air Sprayer
9/12/2018,T6,T6R1,Mowing,mower
7/31/2018,T4,T4R1,Weed control,John Deere 856 15' 6 row S-tine row crop cultivator 
7/19/2018,T4,T4R1,Weed control,John Deere 856 15' 6 row S-tine row crop cultivator 
7/13/2018,T4,T4R1,Weed control,John Deere 856 15' 6 row S-tine row crop cultivator 
7/12/2018,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
7/12/2018,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
7/12/2018,T1,T1R1,Weed control,Top Air Sprayer
7/12/2018,T1,T1R1,Pesticide application,Top Air Sprayer
7/12/2018,T2,T2R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
7/12/2018,T2,T2R1,Weed control,Top Air Sprayer
7/12/2018,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
7/12/2018,T2,T2R1,Pesticide application,Top Air Sprayer
7/11/2018,T8,T8ntR1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
7/11/2018,T8,T8ntR1,Weed control,Top Air Sprayer
7/11/2018,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
7/11/2018,T8,T8ntR1,Pesticide application,Top Air Sprayer
6/29/2018,T4,T4R1,Weed control,Yetter 3415 MT 15' Rotary Hoe
6/28/2018,T3,T3R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/28/2018,T3,T3R1,Weed control,Top Air Sprayer
6/28/2018,T3,T3R1,Pesticide application,Top Air Sprayer
6/28/2018,T3,T3R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
6/26/2018,T4,T4R1,Weed control,Yetter 3415 MT 15' Rotary Hoe
6/25/2018,T6,T6R1,Weed control,Top Air Sprayer
6/25/2018,T6,T6R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/25/2018,T6,T6R1,Pesticide application,Top Air Sprayer
6/25/2018,T6,T6R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
6/18/2018,T4,T4R1,Weed control,Yetter 3415 MT 15' Rotary Hoe
6/14/2018,T4,T4R1,Planting,John Deere 1730 Maxemerge Plus Planter
6/14/2018,T4,T4R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
6/12/2018,T6,T6R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/12/2018,T6,T6R1,Pesticide application,Top Air Sprayer
6/12/2018,T6,T6R1,Weed control,Top Air Sprayer
6/12/2018,T6,T6R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
6/6/2018,T4,T4R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/29/2018,T3,T3R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/29/2018,T3,T3R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/27/2018,T1,T1R1,Weed control,Top Air Sprayer
5/27/2018,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
5/27/2018,T1,T1R1,Pesticide application,Top Air Sprayer
5/27/2018,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/27/2018,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
5/27/2018,T2,T2R1,Pesticide application,Top Air Sprayer
5/27/2018,T2,T2R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
5/27/2018,T2,T2R1,Weed control,Top Air Sprayer
5/27/2018,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
5/26/2018,T8,T8ntR1,Weed control,Top Air Sprayer
5/26/2018,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
5/26/2018,T8,T8ntR1,Pesticide application,Top Air Sprayer
5/26/2018,T8,T8ntR1,Planting,John Deere 1730 Maxemerge Plus Planter
5/26/2018,T8,T8ntR1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
5/25/2018,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/25/2018,T2,T2R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/24/2018,T1,T1R1,Fertilizer application,spreader
5/24/2018,T2,T2R1,Fertilizer application,spreader
5/24/2018,T3,T3R1,Fertilizer application,spreader
5/9/2018,T3,T3R1,Soil Preparation,John Deere 714 Chisel plow
5/8/2018,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
5/8/2018,T2,T2R1,Weed control,Top Air Sprayer
5/8/2018,T2,T2R1,Pesticide application,Top Air Sprayer
5/8/2018,T2,T2R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
5/8/2018,T4,T4R1,Soil Preparation,John Deere 714 Chisel plow
5/8/2018,T6,T6R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
5/8/2018,T6,T6R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
5/8/2018,T6,T6R1,Pesticide application,Top Air Sprayer
5/8/2018,T6,T6R1,Weed control,Top Air Sprayer
5/8/2018,T8,T8ntR1,Weed control,Top Air Sprayer
5/8/2018,T8,T8ntR1,Pesticide application,Top Air Sprayer
5/8/2018,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
5/8/2018,T8,T8ntR1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
12/2/2017,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
11/8/2017,T3,T3R1,Planting,John Deere 1590 15' no-till drill
11/7/2017,T1,T1R1,Mowing,John Deere 115 15' flail mower
11/7/2017,T2,T2R1,Mowing,John Deere 115 15' flail mower
11/7/2017,T3,T3R1,Mowing,John Deere 115 15' flail mower
11/7/2017,T8,T8R1,Mowing,John Deere 115 15' flail mower
11/7/2017,T8,T8ntR1,Mowing,John Deere 115 15' flail mower
11/1/2017,T4,T4R1,Planting,John Deere 1590 15' no-till drill
11/1/2017,T4,T4R1,Mowing,John Deere 115 15' flail mower
10/27/2017,T8,T8ntR1,Harvest,Truck #892 (Blue/Red)
10/27/2017,T8,T8ntR1,Harvest,Kincaid 8XP Plot Combine
10/18/2017,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/18/2017,T1,T1R1,Harvest,John Deere  9410 combine
10/18/2017,T1,T1R1,Harvest,Truck #892 (Blue/Red)
10/18/2017,T1,T1R1,Harvest,Truck #1271 (Blue/White)
10/18/2017,T1,T1R1,Harvest,Truck #1270 (White/Green)
10/18/2017,T1,T1R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/18/2017,T2,T2R1,Harvest,John Deere  9410 combine
10/18/2017,T2,T2R1,Harvest,Truck #892 (Blue/Red)
10/18/2017,T2,T2R1,Harvest,Truck #1271 (Blue/White)
10/18/2017,T2,T2R1,Harvest,Truck #1270 (White/Green)
10/18/2017,T2,T2R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/18/2017,T2,T2R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/18/2017,T3,T3R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/18/2017,T3,T3R1,Harvest,John Deere  9410 combine
10/18/2017,T3,T3R1,Harvest,Truck #892 (Blue/Red)
10/18/2017,T3,T3R1,Harvest,Truck #1271 (Blue/White)
10/18/2017,T3,T3R1,Harvest,Truck #1270 (White/Green)
10/18/2017,T3,T3R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/18/2017,T4,T4R1,Harvest,John Deere  9410 combine
10/18/2017,T4,T4R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/18/2017,T4,T4R1,Harvest,Truck #892 (Blue/Red)
10/18/2017,T4,T4R1,Harvest,Truck #1271 (Blue/White)
10/18/2017,T4,T4R1,Harvest,Truck #1270 (White/Green)
10/18/2017,T4,T4R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
9/8/2017,T6,T6R1,Harvest,Wagon
9/8/2017,T6,T6R1,Harvest,"John Deere 4995 Discbine with 14'6"" cutting head"
9/8/2017,T6,T6R1,Harvest,rake
9/8/2017,T6,T6R1,Harvest,New Holland Baler
7/17/2017,T4,T4R1,Weed control,John Deere 856 15' 6 row S-tine row crop cultivator 
7/17/2017,T6,T6R1,Harvest,"John Deere 4995 Discbine with 14'6"" cutting head"
7/6/2017,T4,T4R1,Weed control,John Deere 856 15' 6 row S-tine row crop cultivator 
7/6/2017,T8,T8ntR1,Pesticide application,Top Air Sprayer
7/6/2017,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
7/6/2017,T8,T8ntR1,Weed control,Top Air Sprayer
7/6/2017,T8,T8ntR1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
7/5/2017,T3,T3R1,Weed control,John Deere 856 15' 6 row S-tine row crop cultivator 
6/28/2017,T3,T3R1,Weed control,Case IH 183 S-tine 6 row cultivator
6/28/2017,T4,T4R1,Weed control,John Deere 856 15' 6 row S-tine row crop cultivator 
6/27/2017,T8,T8ntR1,Fertilizer application,28% (FSC Built) Six Row Fertilizer Applicator
6/21/2017,T1,T1R1,Fertilizer application,28% (FSC Built) Six Row Fertilizer Applicator
6/21/2017,T2,T2R1,Fertilizer application,28% (FSC Built) Six Row Fertilizer Applicator
6/14/2017,T4,T4R1,Weed control,Yetter 3415 MT 15' Rotary Hoe
6/12/2017,T4,T4R1,Weed control,Yetter 3415 MT 15' Rotary Hoe
6/12/2017,T6,T6R1,Harvest,New Holland BR7060 Cropcutter Baler (round baler)
6/12/2017,T6,T6R1,Harvest,"John Deere 4995 Discbine with 14'6"" cutting head"
6/9/2017,T1,T1R1,Pesticide application,Top Air Sprayer
6/9/2017,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
6/9/2017,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/9/2017,T1,T1R1,Weed control,Top Air Sprayer
6/9/2017,T2,T2R1,Pesticide application,Top Air Sprayer
6/9/2017,T2,T2R1,Weed control,Top Air Sprayer
6/9/2017,T2,T2R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
6/9/2017,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/8/2017,T3,T3R1,Weed control,Top Air Sprayer
6/8/2017,T3,T3R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
6/8/2017,T3,T3R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/8/2017,T3,T3R1,Pesticide application,Top Air Sprayer
6/8/2017,T4,T4R1,Weed control,Yetter 3415 MT 15' Rotary Hoe
6/3/2017,T4,T4R1,Planting,John Deere 1730 Maxemerge Plus Planter
6/2/2017,T4,T4R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
6/1/2017,T4,T4R1,Soil Preparation,Disc: Krause 2204A Tandem Rock Flex 14 ft  Wheel Disc
5/24/2017,T3,T3R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/24/2017,T3,T3R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/23/2017,T4,T4R1,Soil Preparation,John Deere 714 Chisel plow
5/18/2017,T3,T3R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/17/2017,T3,T3R1,Soil Preparation,Disc: Krause 2204A Tandem Rock Flex 14 ft  Wheel Disc
5/17/2017,T4,T4R1,Mowing,John Deere 115 15' flail mower
5/16/2017,T1,T1R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/16/2017,T1,T1R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/15/2017,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/15/2017,T2,T2R1,Planting,John Deere 1730 Maxemerge Plus Planter
5/15/2017,T2,T2R1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/13/2017,T3,T3R1,Soil Preparation,John Deere 714 Chisel plow
5/10/2017,T3,T3R1,Mowing,John Deere 115 15' flail mower
5/10/2017,T8,T8ntR1,Weed control,Top Air Sprayer
5/10/2017,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
5/10/2017,T8,T8ntR1,Pesticide application,Top Air Sprayer
5/10/2017,T8,T8ntR1,Planting,John Deere 1730 Maxemerge Plus Planter
5/10/2017,T8,T8ntR1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
5/10/2017,T8,T8ntR1,Fertilizer application,John Deere 1730 Maxemerge Plus Planter
5/9/2017,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
5/8/2017,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/8/2017,T2,T2R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/8/2017,T3,T3R1,Fertilizer application,Gandy Orbit-Air (30' boom)
4/27/2017,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
4/24/2017,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
4/24/2017,T2,T2R1,Pesticide application,Top Air Sprayer
4/24/2017,T2,T2R1,Weed control,Top Air Sprayer
4/24/2017,T2,T2R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
4/24/2017,T8,T8ntR1,Weed control,Top Air Sprayer
4/24/2017,T8,T8ntR1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
4/24/2017,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
4/24/2017,T8,T8ntR1,Pesticide application,Top Air Sprayer
4/19/2017,T6,T6R1,Planting,John Deere 1590 15' no-till drill
4/18/2017,T1,T1R1,Soil Preparation,John Deere 714 Chisel plow
11/7/2016,T8,T8R1,Mowing,John Deere 115 15' flail mower
10/19/2016,T6,T6R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
10/19/2016,T6,T6R1,Weed control,Top Air Sprayer
10/19/2016,T6,T6R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
10/19/2016,T6,T6R1,Pesticide application,Top Air Sprayer
9/1/2016,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
9/1/2016,T2,T2R1,Pesticide application,Top Air Sprayer
9/1/2016,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
9/1/2016,T2,T2R1,Pesticide application,Top Air Sprayer
9/1/2016,T2,T2R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
9/1/2016,T2,T2R1,Weed control,Top Air Sprayer
9/1/2016,T2,T2R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
9/1/2016,T2,T2R1,Weed control,Top Air Sprayer
8/29/2016,T1,T1R1,Pesticide application,Top Air Sprayer
8/29/2016,T1,T1R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
8/29/2016,T1,T1R1,Weed control,Top Air Sprayer
8/29/2016,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
8/26/2016,T6,T6R1,Planting,John Deere 1590 15' no-till drill
8/24/2016,T4,T4R1,Mowing,John Deere 115 15' flail mower
8/18/2016,T6,T6R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
8/18/2016,T6,T6R1,Weed control,Top Air Sprayer
8/18/2016,T6,T6R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
8/18/2016,T6,T6R1,Pesticide application,Top Air Sprayer
8/18/2016,T8,T8ntR1,Weed control,Top Air Sprayer
8/18/2016,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
8/18/2016,T8,T8ntR1,Pesticide application,Top Air Sprayer
8/18/2016,T8,T8ntR1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
8/11/2016,T8,T8ntR1,Mowing,John Deere 115 15' flail mower
8/11/2016,T8,T8ntR1,Weed control,John Deere 115 15' flail mower
8/10/2016,T6,T6R1,Mowing,John Deere 115 15' flail mower
8/3/2016,T3,T3R1,Planting,John Deere 1590 15' no-till drill
8/2/2016,T3,T3R1,Weed control,Top Air Sprayer
8/2/2016,T3,T3R1,Weed control,TurboTwinJet 1103 Flat Fan Nozzles
8/2/2016,T3,T3R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
8/2/2016,T3,T3R1,Pesticide application,Top Air Sprayer
7/19/2016,T8,T8ntR1,Harvest,Kincaid 8XP Plot Combine
7/12/2016,T1,T1R1,Harvest,Truck #1271 (Blue/White)
7/12/2016,T1,T1R1,Harvest,John Deere  9410 combine
7/12/2016,T1,T1R1,Harvest,truck - for hauling
7/12/2016,T1,T1R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
7/12/2016,T1,T1R1,Harvest,Truck #892 (Blue/Red)
7/12/2016,T2,T2R1,Harvest,John Deere  9410 combine
7/12/2016,T2,T2R1,Harvest,Truck #892 (Blue/Red)
7/12/2016,T2,T2R1,Harvest,Truck #1271 (Blue/White)
7/12/2016,T2,T2R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
7/12/2016,T2,T2R1,Harvest,truck - for hauling
6/3/2016,T1,T1R1,Pesticide application,Top Air Sprayer
6/3/2016,T1,T1R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/3/2016,T2,T2R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/3/2016,T2,T2R1,Pesticide application,Top Air Sprayer
6/3/2016,T6,T6R1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/3/2016,T6,T6R1,Pesticide application,Top Air Sprayer
6/3/2016,T8,T8ntR1,Pesticide application,TurboTwinJet 1103 Flat Fan Nozzles
6/3/2016,T8,T8ntR1,Pesticide application,Top Air Sprayer
4/27/2016,T3,T3R1,Fertilizer application,Chafer Stream Bars
4/27/2016,T3,T3R1,Fertilizer application,Top Air Sprayer
4/27/2016,T8,T8ntR1,Fertilizer application,Top Air Sprayer
4/27/2016,T8,T8ntR1,Fertilizer application,Top Air Sprayer
4/27/2016,T8,T8ntR1,Fertilizer application,Chafer Stream Bars
4/27/2016,T8,T8ntR1,Fertilizer application,Chafer Stream Bars
4/24/2016,T1,T1R1,Fertilizer application,Top Air Sprayer
4/24/2016,T1,T1R1,Fertilizer application,Chafer Stream Bars
4/22/2016,T2,T2R1,Fertilizer application,Chafer Stream Bars
4/22/2016,T2,T2R1,Fertilizer application,Top Air Sprayer
