"Month","Year","Calc_TAVG","PRCP","TM_OPE_down","TM_OPE","DA_OPE","Te_OPE"
6,1956,21.39,93.2,151.38,174,237.3,215.9
7,1956,21.15,61.9,150.51,173,217.5,208.7
8,1956,21.44,47.6,143.376,164.8,203.9,189.2
9,1956,16.6,15.8,91.698,105.4,157.2,121.7
10,1956,14.26,6.1,70.383,80.9,109.5,83.5
11,1956,4.54,28.6,14.877,17.1,36.2,44.5
12,1956,0.16,20.7,0.261,0.3,18.5,33.1
1,1957,-6.71,60.6,0,0,15.1,31.9
2,1957,-1.45,31.2,0,0,29.5,44.3
3,1957,2.26,40.4,8.613,9.9,72.9,74.4
4,1957,8.87,118.2,47.154,54.2,105.9,114.9
5,1957,14.13,108.9,92.307,106.1,179.4,156.8
6,1957,20.12,76.7,141.636,162.8,202.8,202.1
7,1957,22.55,117.3,163.473,187.9,251.8,222.8
8,1957,21.09,77.5,141.462,162.6,216.5,185.7
9,1957,16.29,46.2,91.002,104.6,130.9,121.9
10,1957,9.8,112.2,45.849,52.7,82.7,73.4
11,1957,4.03,72.8,13.659,15.7,31.9,43.4
12,1957,0.69,39.5,1.653,1.9,23.9,33.4
1,1958,-4.23,28.7,0,0,16.4,33.5
2,1958,-6.14,29.9,0,0,20.8,40.3
3,1958,1.39,14.2,5.046,5.8,54.8,71.9
4,1958,9.39,34.1,51.243,58.9,134.7,112.3
5,1958,14.91,35.3,99.267,114.1,220.7,161.1
6,1958,16.91,159,115.971,133.3,192.5,176
7,1958,21.29,83.5,153.207,176.1,208.1,209.7
8,1958,20.98,109,141.114,162.2,216.2,185.5
9,1958,17.09,62,96.918,111.4,134.3,125
10,1958,12.3,44.4,60.813,69.9,92.6,79.7
11,1958,5.2,63.12,18.879,21.7,41.3,45.2
12,1958,-6.01,11,0,0,15,29
1,1959,-7.35,58.7,0,0,15.5,31.2
2,1959,-4.85,52.9,0,0,24.9,40.9
3,1959,1.1,37.9,2.871,3.3,65.6,72.1
4,1959,8.36,63.9,40.194,46.2,117.4,108.7
5,1959,17.59,64.5,116.058,133.4,209.3,180.5
6,1959,21.12,111.3,147.465,169.5,241,211
7,1959,22.54,98.6,161.385,185.5,259.8,222.5
8,1959,24.23,111.6,165.735,190.5,202.4,214.5
9,1959,19.19,78.8,107.793,123.9,159.9,138
10,1959,10.2,117.5,44.718,51.4,69.5,75.4
11,1959,1.55,47.2,3.567,4.1,29,40.9
12,1959,0.86,42.6,1.653,1.9,21,33.2
1,1960,-2.78,74.5,0,0,16.9,34.4
2,1960,-3.79,50.2,0,0,21,43.1
3,1960,-4.42,14.1,0,0,45.2,66
4,1960,10.3,73.4,55.506,63.8,130.7,119.4
5,1960,13.82,130,89.001,102.3,170.6,156.2
6,1960,18.46,121.2,127.194,146.2,205.2,186.1
7,1960,21.16,81,151.119,173.7,247.8,209
8,1960,21.57,65.3,144.855,166.5,214.7,187.1
9,1960,18.9,40.2,107.967,124.1,146.7,136.2
10,1960,10.85,31.3,51.069,58.7,86.5,75.4
11,1960,5.81,42.1,20.532,23.6,38.9,44.3
12,1960,-4.2,18.2,0,0,17.5,30.2
1,1961,-5.89,7.2,0,0,18.4,32.5
2,1961,-1.27,12.9,0,0,36.1,44.3
3,1961,3.62,47.6,14.616,16.8,73.4,76.7
4,1961,6.22,94.8,30.189,34.7,103.7,102.1
5,1961,12.71,43.9,80.475,92.5,195.5,149.8
6,1961,18.95,83.1,131.283,150.9,248.9,192.7
7,1961,22.36,63.6,161.472,185.6,261.1,220.3
8,1961,21.25,130.9,142.332,163.6,202.9,186.8
9,1961,19.42,158.6,111.621,128.3,154.5,139.4
10,1961,12.12,62.3,58.377,67.1,98.8,79.3
11,1961,4.48,34.8,15.051,17.3,41.9,43.3
12,1961,-2.62,19.4,0,0,19.2,31.4
1,1962,-7.11,59.6,0,0,15.6,31.9
2,1962,-4.96,11,0,0,23,41
3,1962,0.31,19.6,0.783,0.9,58.6,72
4,1962,7.8,45,39.672,45.6,131.9,110
5,1962,17.55,80.8,118.755,136.5,210.3,180.6
6,1962,20.18,96.3,141.549,162.7,249.1,200.1
7,1962,20.67,70.9,146.856,168.8,232.8,205.1
8,1962,21.79,32.1,146.682,168.6,246.5,190.8
9,1962,16.33,89.9,90.567,104.1,151.3,122.6
10,1962,12.22,68.5,58.986,67.8,87.7,81.5
11,1962,3.84,9.9,12.528,14.4,34.8,42.1
12,1962,-4.24,38.5,0,0,19.5,30.5
1,1963,-9.58,20.8,0,0,8,29.8
2,1963,-7.81,9.5,0,0,19.3,38.4
3,1963,2.97,37.28,11.136,12.8,72,77.3
4,1963,9.45,57.9,49.242,56.6,139.5,112.7
5,1963,13.26,108,83.781,96.3,189.5,151.9
6,1963,20.5,39.1,143.724,165.2,278.8,207.3
7,1963,22.17,102.8,159.384,183.2,277.1,220.6
8,1963,19.42,46,127.107,146.1,211.3,173.7
9,1963,16.43,25.9,90.567,104.1,170.5,120.3
10,1963,15.31,21.3,76.734,88.2,131.5,88.2
11,1963,6.54,30.5,23.229,26.7,42.2,45.7
12,1963,-6.4,12.3,0,0,16.7,28.7
1,1964,-2.58,12.8,0,0,23.8,35.1
2,1964,-3.73,8.2,0,0,32,43.6
3,1964,1.49,51,5.22,6,69.8,72.8
4,1964,9.12,93.6,48.72,56,142.3,113.8
5,1964,16.85,61.9,113.796,130.8,234.7,174.1
6,1964,20.85,54,147.813,169.9,275.5,212.1
7,1964,22.63,66.3,164.169,188.7,276.3,225.9
8,1964,19.46,125.3,128.586,147.8,234.1,176.3
9,1964,16.28,119.9,90.915,104.5,162,122.9
10,1964,8.41,30.3,38.28,44,95.1,69.8
11,1964,4.97,69.7,17.487,20.1,50.5,45
12,1964,-3.31,36.1,0,0,17.5,30.5
1,1965,-4.38,52.1,0,0,18.1,33.8
2,1965,-3.8,34.4,0,0,29.2,41.9
3,1965,-2.16,49.2,0,0,39.2,66.1
4,1965,7.38,48.2,37.149,42.7,126.5,106.1
5,1965,17.93,50.1,121.8,140,231.8,179.6
6,1965,18.81,81.4,130.065,149.5,264.7,189.1
7,1965,21.57,56.1,154.599,177.7,272.4,214.5
8,1965,20.24,132.4,134.154,154.2,182.4,181.1
9,1965,17.57,131.7,98.919,113.7,129.4,127.4
10,1965,11.03,57.6,52.113,59.9,77.5,76.5
11,1965,5.32,52,18.531,21.3,37.6,44.9
12,1965,1.53,115.1,4.002,4.6,21.7,33.8
1,1966,-6.74,23.7,0,0,15.4,31.7
2,1966,-3.23,38.5,0,0,27.9,42.4
3,1966,3.28,82.6,13.833,15.9,73.6,76.2
4,1966,7.03,113.6,36.453,41.9,116,105.5
5,1966,11.6,89.6,73.95,85,179.3,145.7
6,1966,20.98,56.4,149.379,171.7,224.6,210
7,1966,23.3,54.9,170.346,195.8,257,232.6
8,1966,20.59,130.4,138.069,158.7,197.2,180.5
9,1966,16.32,43.8,91.785,105.5,138.4,122
10,1966,10.35,26.1,49.677,57.1,82.4,74.8
11,1966,4.89,166.6,17.574,20.2,33.6,43.6
12,1966,-1.99,99.6,0,0,19.1,31.6
1,1967,-2.79,69.4,0,0,21.6,34.7
2,1967,-6.69,40.9,0,0,22,39.1
3,1967,0.81,28.6,2.697,3.1,62.8,73.6
4,1967,9.13,120.2,49.59,57,124.4,111.2
5,1967,12.18,59.4,78.3,90,177.3,147.8
6,1967,21.23,153.2,151.467,174.1,219.4,209.7
7,1967,20.88,73.2,149.727,172.1,213.9,207.3
8,1967,20.41,48.4,136.59,157,216.5,180.9
9,1967,17.01,78.3,96.396,110.8,167.7,125.2
10,1967,11.3,130.4,55.071,63.3,79.8,78.5
11,1967,2.42,78.2,7.743,8.9,28.3,41.2
12,1967,-0.87,127.3,0,0,19.4,32.2
1,1968,-5.52,42.2,0,0,16.5,32.7
2,1968,-5.5,67.4,0,0,26.1,41.8
3,1968,3.27,18.7,12.18,14,80.2,77.9
4,1968,10.14,75,52.896,60.8,134.4,115.1
5,1968,13.18,82.6,82.302,94.6,174.6,151.1
6,1968,20.12,167.4,139.896,160.8,218.3,201.6
7,1968,21.88,136.3,156.339,179.7,239.1,217.7
8,1968,22.2,87.4,149.205,171.5,198.1,199.3
9,1968,18.12,80.5,101.442,116.6,133.8,127.6
10,1968,12.32,88.6,58.203,66.9,82.4,80.1
11,1968,4.38,114.2,13.833,15.9,33.4,43.1
12,1968,-2.98,89.2,0,0,17.4,30.6
1,1969,-5.3,45.1,0,0,14.8,33.3
2,1969,-2.74,7.1,0,0,28.7,42.5
3,1969,0.23,46.5,0.522,0.6,67.1,70.9
4,1969,9.42,126,49.851,57.3,132.3,111.9
5,1969,14.77,70.8,96.483,110.9,200,161
6,1969,17.87,142.3,122.322,140.6,187.3,186.3
7,1969,22.52,111.07,162.864,187.2,230.5,222.8
8,1969,22.44,39.6,151.902,174.6,216,196.3
9,1969,18.06,11.1,102.225,117.5,144.5,130.3
10,1969,11.29,141,53.592,61.6,80,79.1
11,1969,3.6,79.4,11.571,13.3,33.1,42.7
12,1969,-2.99,18.3,0,0,16.4,30.7
1,1970,-8.24,21.1,0,0,13.3,31.1
2,1970,-4.46,19,0,0,25.2,41.2
3,1970,-0.76,60.3,0,0,57.2,68.7
4,1970,8.53,88.7,42.717,49.1,122.1,112.5
5,1970,16.35,103.8,107.445,123.5,193.5,170.4
6,1970,20.3,91.9,141.462,162.6,220.2,203.8
7,1970,22.74,153.2,163.995,188.5,222.4,226.8
8,1970,21.81,41.4,145.986,167.8,217.7,191.1
9,1970,17.83,82,99.441,114.3,138.1,129.4
10,1970,12.73,111.8,60.552,69.6,83.4,80.3
11,1970,3.95,79.11,12.18,14,29.4,42.9
12,1970,-1.91,39.4,0,0,20.2,31.8
1,1971,-7.22,27.8,0,0,15.1,31.4
2,1971,-3.51,74.1,0,0,23,42.8
3,1971,-0.17,25.31,0,0,57,69.6
4,1971,7.82,28.8,37.671,43.3,133.3,107.7
5,1971,13.72,59,85.608,98.4,208.6,154.8
6,1971,22.75,41.3,162.429,186.7,262.7,228.4
7,1971,21.44,143.1,151.989,174.7,232,212.7
8,1971,20.4,47.4,133.806,153.8,220.8,179.3
9,1971,19.55,115,110.925,127.5,137.1,139.3
10,1971,15.47,89.1,76.386,87.8,91.3,88.7
11,1971,4.23,78.8,12.876,14.8,36.7,43.5
12,1971,0.69,117.1,1.305,1.5,22.7,33.4
1,1972,-5.51,40.1,0,0,18,33
2,1972,-4.69,27.7,0,0,25.8,43
3,1972,-0.04,34.98,0,0,56.9,70.8
4,1972,6.89,86.2,35.583,40.9,119.4,106
5,1972,15.96,96.3,107.532,123.6,218.5,168.5
6,1972,18.56,68.5,129.369,148.7,222.8,188.9
7,1972,21.79,125.5,157.47,181,233,217.9
8,1972,21.48,159.3,145.029,166.7,188,187.9
9,1972,17.47,156.2,99.441,114.3,126.6,124.7
10,1972,9,78.7,42.108,48.4,69.9,72
11,1972,2.95,58.7,9.744,11.2,23,41.3
12,1972,-2.22,117.6,0,0,15.9,31
1,1973,-2.42,33.8,0,0,21.5,34.7
2,1973,-3.58,37.6,0,0,24.1,42.1
3,1973,6.45,91.7,26.361,30.3,82.1,82.3
4,1973,8.8,94.3,42.195,48.5,112.9,111.5
5,1973,13.11,153.8,79.17,91,165.8,150.6
6,1973,21.49,92.1,150.249,172.7,215.4,211.2
7,1973,22.74,95.8,162.777,187.1,233.4,225
8,1973,22.94,37.4,154.251,177.3,197.5,203.3
9,1973,18.57,116,102.834,118.2,145.1,134.7
10,1973,13.74,77.1,64.554,74.2,90.1,84.1
11,1973,5.44,93.4,16.878,19.4,35.4,44.1
12,1973,-2.6,68.6,0,0,17.1,31.1
1,1974,-3.24,60,0,0,20.2,34.7
2,1974,-4.93,73.02,0,0,26.5,41.1
3,1974,2.28,99.3,8.352,9.6,60.2,73.5
4,1974,9.64,125.8,51.243,58.9,130.7,113.9
5,1974,13.32,87.4,85.173,97.9,174.8,153.5
6,1974,18.73,92,129.456,148.8,211.4,189.3
7,1974,23.58,34.6,172.173,197.9,276.4,237.4
8,1974,22,74.1,148.335,170.5,219.8,192.7
9,1974,15.89,87.3,87.609,100.7,146.4,119.2
10,1974,10.64,39.3,49.938,57.4,84.1,75.3
11,1974,5.09,74.5,17.574,20.2,35.6,44.6
12,1974,-0.57,32.2,0,0,16,32.5
1,1975,-2.28,30.02,0,0,21.2,34.4
2,1975,-3.32,61.1,0,0,21.1,42.5
3,1975,0.12,53.2,0.174,0.2,57.3,70.2
4,1975,5.43,164.7,24.447,28.1,101.6,101
5,1975,17.18,152.9,114.231,131.3,205.7,176
6,1975,20.74,69.6,145.203,166.9,216.4,208
7,1975,22.65,16,163.212,187.6,251.9,224.2
8,1975,22.7,265,153.294,176.2,203.1,200.1
9,1975,15.04,45.8,80.649,92.7,120.8,115.4
10,1975,12.6,25.2,59.769,68.7,97.9,80.7
11,1975,7.76,77.7,28.101,32.3,45.5,48.6
12,1975,-1.6,114.8,0,0,20.5,31.7
1,1976,-6.39,51.4,0,0,15.3,32.3
2,1976,0.14,49.9,0.261,0.3,42.8,48.5
3,1976,4.28,65.37,18.357,21.1,85.5,79.3
4,1976,9.75,110,52.722,60.6,139.9,115.2
5,1976,13.25,82.8,85.521,98.3,190,152.7
6,1976,21.21,72.6,150.858,173.4,239.5,209.4
7,1976,22.8,99.9,165.648,190.4,253.2,225.6
8,1976,20.8,11.4,139.2,160,230.2,182.7
9,1976,17.13,55.5,96.57,111,155.2,124.2
10,1976,8.6,69.2,39.324,45.2,78.1,72
11,1976,0.98,38.36,2.523,2.9,29.8,39.4
12,1976,-6.78,35.2,0,0,16.1,28.5
1,1977,-11.01,59.4,0,0,8.9,29.4
2,1977,-4.68,13.4,0,0,24.9,41.4
3,1977,5.05,54.7,19.227,22.1,77.8,80.3
4,1977,11.58,101.5,59.943,68.9,153.9,122.3
5,1977,19.06,27.1,127.803,146.9,259.3,191.2
6,1977,18.7,103.6,125.715,144.5,226.8,190.4
7,1977,24.02,46.8,174.609,200.7,242.4,242.2
8,1977,20.55,139.9,133.98,154,183.7,182.2
9,1977,18.31,115,101.007,116.1,122.5,130.3
10,1977,10.37,51.4,45.066,51.8,81.6,73.8
11,1977,5.58,84.9,17.4,20,36.2,46.6
12,1977,-3.32,54.4,0,0,15.6,30.5
1,1978,-7.32,104.6,0,0,14.3,31.3
2,1978,-9.63,8.8,0,0,19.4,37.2
3,1978,-2.02,29.7,0,0,52.6,67.4
4,1978,7.85,71.7,39.324,45.2,137.4,106.2
5,1978,15.49,75,101.355,116.5,198.9,167.7
6,1978,19.63,165.8,136.329,156.7,228.9,196.2
7,1978,21.46,62.1,153.207,176.1,225.4,214
8,1978,22.05,43.1,148.335,170.5,211.6,193.3
9,1978,19.48,148.6,111.447,128.1,158.8,138.9
10,1978,10.64,83.1,49.242,56.6,76.6,75.5
11,1978,4.93,67.1,16.443,18.9,43.2,44.5
12,1978,-2.26,136.9,0,0,17.6,31.4
1,1979,-8.49,56.14,0,0,10.9,31.1
2,1979,-8.95,39.9,0,0,18.1,38.1
3,1979,3.28,74.9,13.398,15.4,72.7,76.8
4,1979,7.3,122,37.41,43,114.7,106.5
5,1979,14.22,60.4,93.003,106.9,190.8,158
6,1979,19.69,235.7,138.069,158.7,223.8,196.3
7,1979,21.82,57.9,157.209,180.7,243.2,216.1
8,1979,20.34,126.8,135.546,155.8,176.3,180.3
9,1979,18.23,0,103.965,119.5,160.1,130.3
10,1979,11.01,68.8,52.722,60.6,72.3,76.9
11,1979,4.66,140.6,16.182,18.6,35.4,43.7
12,1979,0.69,62.85,1.653,1.9,23.3,33.3
1,1980,-4.06,19.2,0,0,17.8,33.4
2,1980,-5.69,48.8,0,0,21.4,42
3,1980,-0.14,68.4,0,0,58.6,71.1
4,1980,7.96,79.4,40.716,46.8,114.1,108.7
5,1980,15.42,62,101.616,116.8,208.7,164.8
6,1980,18.41,131.7,126.759,145.7,218,188.4
7,1980,22.97,132.5,166.779,191.7,222.3,227.6
8,1980,22.77,145,154.599,177.7,193.4,198.5
9,1980,18.28,93.4,103.704,119.2,141.5,129.6
10,1980,9.28,50.9,42.369,48.7,78.7,72.1
11,1980,4.22,31.9,14.007,16.1,38.7,42.9
12,1980,-2.75,70.71,0,0,18.5,30.8
1,1981,-6.48,13.8,0,0,18.2,31.8
2,1981,-2.05,57.36,0,0,30.4,44.2
3,1981,2.5,25.9,9.396,10.8,74.3,75.3
4,1981,10.46,159.5,56.55,65,136.4,115.1
5,1981,13.95,87.5,90.045,103.5,191.5,156.2
6,1981,20.54,108.4,144.594,166.2,210.8,202.7
7,1981,22.5,42.8,162.69,187,238.3,224.2
8,1981,21.52,93.2,144.507,166.1,204.6,187.9
9,1981,16.3,174.5,90.393,103.9,123,122.2
10,1981,9.16,81.9,41.673,47.9,76.8,71.6
11,1981,5.12,34.6,17.661,20.3,44.6,44.6
12,1981,-1.86,32.2,0,0,17.6,31.5
1,1982,-8.59,70.9,0,0,13.1,30.8
2,1982,-5.84,29.19,0,0,22.5,40.4
3,1982,-0.22,118.5,0,0,51.7,70.7
4,1982,5.74,47.5,26.796,30.8,115.3,102.8
5,1982,18.27,102,123.888,142.4,208.5,181
6,1982,17.85,105.3,121.365,139.5,201.4,181.4
7,1982,22.56,108.3,162.777,187.1,221.7,222.8
8,1982,20.65,55.3,136.938,157.4,199.1,183.7
9,1982,17.26,35.3,96.222,110.6,133.6,126.2
10,1982,12.32,29.6,58.899,67.7,95.8,81.1
11,1982,5.48,133.6,18.705,21.5,35.3,44.8
12,1982,2.89,134.2,8.352,9.6,23.1,35.7
1,1983,-2.26,24.9,0,0,18.6,35
2,1983,-0.6,32.1,0,0,35.4,45
3,1983,3.85,82.6,14.442,16.6,75.6,77
4,1983,6.64,126.8,30.711,35.3,111.4,103.7
5,1983,12.81,138.2,78.648,90.4,172.6,149.2
6,1983,20.32,48.5,141.027,162.1,243.5,203.6
7,1983,24.5,72.7,179.568,206.4,251.8,247.7
8,1983,23.75,73.2,161.82,186,215,209.2
9,1983,18.26,110,101.877,117.1,152.9,132.9
10,1983,11.45,56.8,52.461,60.3,80.2,77.8
11,1983,5.7,94.5,18.705,21.5,40.6,45
12,1983,-6.79,74.4,0,0,10.5,28.7
1,1984,-7.73,18.69,0,0,12,31.4
2,1984,1.21,29.7,2.871,3.3,38.4,48.9
3,1984,-1.71,77.3,0,0,48.5,68.1
4,1984,8.23,78.1,40.89,47,123.3,109
5,1984,12.38,115.7,76.212,87.6,167.7,147.7
6,1984,21.76,6.9,154.077,177.1,243.6,214.5
7,1984,22.07,84.9,158.079,181.7,239.3,219.4
8,1984,23.49,26.7,159.906,183.8,225.7,206.2
9,1984,16.62,156.9,91.176,104.8,130.8,122.5
10,1984,13.1,89.7,62.727,72.1,78.1,80.8
11,1984,5.3,63.9,17.574,20.2,38.1,44
12,1984,1.03,148.3,2.262,2.6,25.6,33.8
1,1985,-6.28,71.57,0,0,13.1,31.9
2,1985,-4.79,95.68,0,0,23.1,41.6
3,1985,3.79,129.1,14.181,16.3,73.4,77
4,1985,11.73,93.4,62.553,71.9,137.5,123.9
5,1985,16.6,109.9,108.663,124.9,208.2,170.2
6,1985,18.59,44.7,126.15,145,212.1,187.5
7,1985,22.28,117.5,159.471,183.3,238,220.7
8,1985,20.61,107.1,135.546,155.8,182.8,181.3
9,1985,18.79,56.2,105.531,121.3,132.2,137.1
10,1985,12.02,128.7,55.767,64.1,76.2,78.1
11,1985,4.69,155.8,14.703,16.9,29.3,43.8
12,1985,-5.27,62.35,0,0,12.7,29.2
1,1986,-4.03,19.7,0,0,19.1,33.9
2,1986,-4.23,86.05,0,0,20.4,41.3
3,1986,3.3,45.3,12.267,14.1,80.9,77.8
4,1986,10.83,112.3,57.333,65.9,137.8,118.7
5,1986,15.69,91.5,102.138,117.4,185.6,166
6,1986,20.36,145.8,141.984,163.2,221.3,202
7,1986,23.17,187.03,167.823,192.9,220.7,231
8,1986,19.87,117,130.065,149.5,187.4,177.3
9,1986,18.6,253.8,104.835,120.5,130.1,130.7
10,1986,11.78,96,55.071,63.3,75.5,77.9
11,1986,2.99,12.5,8.613,9.9,31.8,42.1
12,1986,-0.49,38.5,0,0,15.7,32.6
1,1987,-2.78,29.5,0,0,17.5,34.8
2,1987,-0.65,2.3,0,0,34.7,44.7
3,1987,3.96,38.6,14.094,16.2,84.8,77.4
4,1987,10.57,59.9,53.331,61.3,138,117.1
5,1987,17.14,33.8,111.621,128.3,202.6,179.5
6,1987,22.56,50.9,159.906,183.8,239,223.6
7,1987,23.79,67.64,172.521,198.3,224,240.1
8,1987,21.52,176.2,142.158,163.4,169.1,193
9,1987,17.83,131.8,97.614,112.2,125.4,126.5
10,1987,8.27,64.4,33.756,38.8,68.3,69.9
11,1987,6.45,61.1,20.967,24.1,38.6,46.3
12,1987,0.37,129.4,0.522,0.6,16.1,32.9
1,1988,-4.76,57.81,0,0,19.1,33.7
2,1988,-5.58,37,0,0,27.6,42
3,1988,2.28,59.7,7.221,8.3,70.6,74.8
4,1988,9.08,76.9,44.631,51.3,134.2,110.7
5,1988,16.39,35.8,106.14,122,218.1,170.4
6,1988,21.08,36.6,147.117,169.1,254.2,215.1
7,1988,24.41,106,178.524,205.2,286.9,245.6
8,1988,23.62,126.9,160.428,184.4,194.7,217
9,1988,17.37,162.7,95.091,109.3,130.4,123.8
10,1988,7.95,135.2,32.625,37.5,61.8,69.8
11,1988,5.67,137.8,18.183,20.9,32.3,43.9
12,1988,-1.29,85.17,0,0,20.9,31.7
1,1989,-0.61,45,0,0,25,36.7
2,1989,-5.89,34.8,0,0,21,40.2
3,1989,1.4,68.2,4.872,5.6,71.3,74
4,1989,8.05,54.56,42.021,48.3,115.8,108.8
5,1989,13.85,152.6,90.132,103.6,181.5,156.6
6,1989,20.05,136.6,141.114,162.2,202,200.2
7,1989,22.78,72.8,165.474,190.2,231.7,226.3
8,1989,21.09,109.7,141.462,162.6,192.6,185.6
9,1989,16.64,173.8,93.264,107.2,138.7,123.7
10,1989,10.84,33,51.765,59.5,81.2,76.7
11,1989,3.37,105,11.049,12.7,34.4,42.2
12,1989,-7.28,29.6,0,0,11.5,28.2
1,1990,0.16,54.3,0.261,0.3,24.8,36.4
2,1990,-1.14,78.9,0,0,31.3,44
3,1990,3.79,71.1,14.964,17.2,68.3,78.5
4,1990,9.21,76.5,47.763,54.9,124.5,116.1
5,1990,13.35,119.7,84.477,97.1,171.5,151.2
6,1990,20.41,116.2,142.941,164.3,217.9,203.6
7,1990,21.78,63.5,155.991,179.3,221.8,217.1
8,1990,21,88.2,139.809,160.7,185.7,184.7
9,1990,18.29,85.1,103.182,118.6,140.8,133.1
10,1990,11.13,167.5,52.026,59.8,84.6,77.5
11,1990,6.73,193.4,24.012,27.6,42.6,46.3
12,1990,-0.17,76.04,0,0,21.8,33
1,1991,-4.37,32.2,0,0,15.5,33.4
2,1991,-0.66,14.7,0,0,30.7,44.6
3,1991,4.44,145.6,15.834,18.2,78.3,78.8
4,1991,10.97,136.2,55.245,63.5,126.7,118.7
5,1991,18.77,86.2,124.671,143.3,206.8,191.7
6,1991,22.42,71.7,158.166,181.8,254.2,221.3
7,1991,22.97,149.1,164.517,189.1,234.3,228.7
8,1991,21.95,157.7,145.377,167.1,210.8,192.3
9,1991,16.44,56.6,87.348,100.4,142.4,126
10,1991,12.4,187.3,55.941,64.3,83.6,79.7
11,1991,2.4,73.77,5.655,6.5,34.7,41.3
12,1991,-1.76,125.6,0,0,24.2,31.7
1,1992,-2.19,36.64,0,0,18.3,35.2
2,1992,-0.31,26.6,0,0,31.3,47
3,1992,2.51,67.9,11.223,12.9,76.9,75.3
4,1992,7.95,72.7,44.457,51.1,119.2,109.2
5,1992,15.26,24.9,104.574,120.2,231.1,165.7
6,1992,17.79,30.8,125.28,144,259,182.5
7,1992,20.23,153.2,145.986,167.8,216.1,201.3
8,1992,18.85,85.6,126.324,145.2,193,169.2
9,1992,16.28,139.4,93.612,107.6,138.8,120.9
10,1992,9.8,72.9,48.72,56,87.2,73
11,1992,3.52,112.2,13.05,15,26.3,41.7
12,1992,-0.36,78.08,0,0,17.4,32.7
1,1993,-2.58,92.09,0,0,21.3,34.8
2,1993,-4.32,25.6,0,0,23.9,40.7
3,1993,0.96,58.09,3.132,3.6,56.8,72.5
4,1993,8.26,119.7,43.326,49.8,121.3,109
5,1993,16.02,43.4,107.184,123.2,216.3,166.1
6,1993,19.11,182.1,133.284,153.2,227.6,193.1
7,1993,22.49,66.3,163.038,187.4,243,223.9
8,1993,22.46,85.4,152.511,175.3,212,199.9
9,1993,14.74,135,80.736,92.8,114.4,114.7
10,1993,10.3,94.2,48.72,56,85.4,74.6
11,1993,3.83,29,12.789,14.7,34.5,42.6
12,1993,-1.85,29.5,0,0,17.4,31.7
1,1994,-8.55,70.92,0,0,14,30.8
2,1994,-5.68,35.82,0,0,27.1,40.9
3,1994,2.56,36.5,8.352,9.6,78,74.7
4,1994,10.72,88.9,55.071,63.3,148.1,119.2
5,1994,14.64,21.9,92.046,105.8,221.2,162
6,1994,21.75,146.2,153.033,175.9,264.5,220.1
7,1994,22.51,167.8,161.124,185.2,230.5,222.8
8,1994,20.15,143.4,131.283,150.9,193.5,179.2
9,1994,18.24,29.18,101.094,116.2,151.5,129.9
10,1994,12.34,57.9,56.985,65.5,92,79.7
11,1994,7.01,137.2,23.751,27.3,40.6,47.1
12,1994,1.3,37.3,2.784,3.2,24.2,33.7
1,1995,-2.27,65.6,0,0,19.9,34.9
2,1995,-3.59,21.9,0,0,26.1,42.1
3,1995,4.13,41.9,14.877,17.1,87.2,79
4,1995,7.57,86,34.8,40,125,106.2
5,1995,15.24,95.7,96.048,110.4,208.5,161.5
6,1995,21.88,75.2,153.729,176.7,262.7,217.3
7,1995,23.8,135.76,172.608,198.4,263.3,241.5
8,1995,25.08,128.4,172.956,198.8,207.7,225.2
9,1995,16.28,121.88,86.913,99.9,157.2,122
10,1995,12.48,72,57.072,65.6,95.5,81.1
11,1995,0.89,92.27,1.653,1.9,29.6,40
12,1995,-3.65,31.03,0,0,17.2,30.6
1,1996,-4.34,39.65,0,0,22.2,34
2,1996,-3.13,17.46,0,0,32.7,45.6
3,1996,-0.23,19,0,0,71.6,71.3
4,1996,7.46,94,36.888,42.4,129.6,108
5,1996,14.47,91.54,93.264,107.2,190.1,160
6,1996,21.55,158,152.772,175.6,219.1,216.9
7,1996,21.48,35.3,153.381,176.3,264.7,212.5
8,1996,23.05,40.9,156.6,180,233.4,203.4
9,1996,17.65,77.04,98.832,113.6,150.4,127.5
10,1996,11.71,101.2,55.332,63.6,95,77.2
11,1996,1.65,73.83,4.35,5,27.5,39.9
12,1996,-1.19,98.11,0,0,16.3,31.9
1,1997,-5.59,77.2,0,0,18,32.8
2,1997,-1.16,111.9,0,0,28.6,44.1
3,1997,3.07,61.98,12.354,14.2,78.4,75.9
4,1997,8.2,38.7,42.891,49.3,140.4,108.9
5,1997,11.64,116.4,73.341,84.3,174.6,143.6
6,1997,21.2,118.55,150.771,173.3,251.4,210.6
7,1997,23.06,43.2,167.91,193,276.6,231.9
8,1997,20.46,93.61,136.503,156.9,203,181.6
9,1997,17.34,144,97.962,112.6,143,124.9
10,1997,11.44,62.7,55.158,63.4,92.7,81
11,1997,3.01,47.1,9.657,11.1,28.1,41.7
12,1997,-0.01,56.78,0,0,17.5,32.5
1,1998,-0.29,108.09,0,0,17.9,36.4
2,1998,2.34,50,4.611,5.3,36.7,47.5
3,1998,3.97,90.31,11.832,13.6,62.7,82.2
4,1998,10.44,134.4,48.111,55.3,143.1,115
5,1998,19.41,49.3,127.02,146,242.2,191.2
6,1998,20.97,68,142.332,163.6,252.7,215.5
7,1998,23.17,104.8,164.517,189.1,270.9,230
8,1998,23.2,59.2,154.425,177.5,218.4,204
